VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w
16, 7, -0.11261,  0.09779, -0.0389, -0.0459, -0.85218, -0.52074,  1.00,  1.00,  0.50196,  0.50196,  0.50196
17, 6, -0.11263,  0.10092, -0.04048, -0.16813,  0.15707, -0.97313,  1.00,  1.00,  0.50196,  0.50196,  0.50196
18, 8, -0.10123,  0.10133, -0.04181, -0.01682,  0.15095, -0.98835,  1.00,  1.00,  0.50196,  0.50196,  0.50196
19, 9, -0.10114,  0.09856, -0.04032,  0.01472, -0.87177, -0.48922,  1.00,  1.00,  0.50196,  0.50196,  0.50196
20, 7, -0.11261,  0.09779, -0.0389, -0.0459, -0.85218, -0.52074,  1.00,  1.00,  0.50196,  0.50196,  0.50196
21, 10, -0.08791,  0.10046, -0.04113,  0.14583,  0.07464, -0.98639,  1.00,  1.00,  0.50196,  0.50196,  0.50196
22, 9, -0.10114,  0.09856, -0.04032,  0.01472, -0.87177, -0.48922,  1.00,  1.00,  0.50196,  0.50196,  0.50196
23, 8, -0.10123,  0.10133, -0.04181, -0.01682,  0.15095, -0.98835,  1.00,  1.00,  0.50196,  0.50196,  0.50196
24, 10, -0.08791,  0.10046, -0.04113,  0.14583,  0.07464, -0.98639,  1.00,  1.00,  0.50196,  0.50196,  0.50196
25, 11, -0.08796,  0.0983, -0.03918,  0.03739, -0.93552, -0.35072,  1.00,  1.00,  0.50196,  0.50196,  0.50196
26, 9, -0.10114,  0.09856, -0.04032,  0.01472, -0.87177, -0.48922,  1.00,  1.00,  0.50196,  0.50196,  0.50196
27, 12, -0.07644,  0.09944, -0.0387,  0.23985, -0.01114, -0.97064,  1.00,  1.00,  0.50196,  0.50196,  0.50196
28, 11, -0.08796,  0.0983, -0.03918,  0.03739, -0.93552, -0.35072,  1.00,  1.00,  0.50196,  0.50196,  0.50196
29, 10, -0.08791,  0.10046, -0.04113,  0.14583,  0.07464, -0.98639,  1.00,  1.00,  0.50196,  0.50196,  0.50196
30, 12, -0.07644,  0.09944, -0.0387,  0.23985, -0.01114, -0.97064,  1.00,  1.00,  0.50196,  0.50196,  0.50196
31, 13, -0.07639,  0.09759, -0.03654,  0.00008, -0.97792, -0.20803, -1.00,  1.00,  0.50196,  0.50196,  0.50196
32, 11, -0.08796,  0.0983, -0.03918,  0.03739, -0.93552, -0.35072,  1.00,  1.00,  0.50196,  0.50196,  0.50196
33, 14, -0.06677,  0.09787, -0.03526,  0.35758, -0.17131, -0.91799, -1.00,  1.00,  0.50196,  0.50196,  0.50196
34, 13, -0.07639,  0.09759, -0.03654,  0.00008, -0.97792, -0.20803, -1.00,  1.00,  0.50196,  0.50196,  0.50196
35, 12, -0.07644,  0.09944, -0.0387,  0.23985, -0.01114, -0.97064,  1.00,  1.00,  0.50196,  0.50196,  0.50196
36, 14, -0.06677,  0.09787, -0.03526,  0.35758, -0.17131, -0.91799, -1.00,  1.00,  0.50196,  0.50196,  0.50196
37, 15, -0.06697,  0.09702, -0.03332, -0.08449, -0.99044, -0.10775, -1.00,  1.00,  0.50196,  0.50196,  0.50196
38, 13, -0.07639,  0.09759, -0.03654,  0.00008, -0.97792, -0.20803, -1.00,  1.00,  0.50196,  0.50196,  0.50196
39, 16, -0.06028,  0.09654, -0.03198,  0.41606, -0.26523, -0.86976, -1.00,  1.00,  0.50196,  0.50196,  0.50196
40, 15, -0.06697,  0.09702, -0.03332, -0.08449, -0.99044, -0.10775, -1.00,  1.00,  0.50196,  0.50196,  0.50196
41, 14, -0.06677,  0.09787, -0.03526,  0.35758, -0.17131, -0.91799, -1.00,  1.00,  0.50196,  0.50196,  0.50196
42, 16, -0.06028,  0.09654, -0.03198,  0.41606, -0.26523, -0.86976, -1.00,  1.00,  0.50196,  0.50196,  0.50196
43, 17, -0.06042,  0.09589, -0.03013, -0.18432, -0.98107, -0.05724, -1.00,  1.00,  0.50196,  0.50196,  0.50196
44, 15, -0.06697,  0.09702, -0.03332, -0.08449, -0.99044, -0.10775, -1.00,  1.00,  0.50196,  0.50196,  0.50196
45, 18, -0.05628,  0.09528, -0.02947,  0.44795, -0.2728, -0.85139, -1.00,  1.00,  0.50196,  0.50196,  0.50196
46, 17, -0.06042,  0.09589, -0.03013, -0.18432, -0.98107, -0.05724, -1.00,  1.00,  0.50196,  0.50196,  0.50196
47, 16, -0.06028,  0.09654, -0.03198,  0.41606, -0.26523, -0.86976, -1.00,  1.00,  0.50196,  0.50196,  0.50196
48, 18, -0.05628,  0.09528, -0.02947,  0.44795, -0.2728, -0.85139, -1.00,  1.00,  0.50196,  0.50196,  0.50196
49, 19, -0.05613,  0.09479, -0.02862, -0.16483, -0.97392, -0.15565, -1.00,  1.00,  0.50196,  0.50196,  0.50196
50, 17, -0.06042,  0.09589, -0.03013, -0.18432, -0.98107, -0.05724, -1.00,  1.00,  0.50196,  0.50196,  0.50196
51, 20, -0.04975,  0.09286, -0.02464,  0.83408, -0.36849,  0.41045,  1.00,  1.00,  0.50196,  0.50196,  1.00
52, 19, -0.05613,  0.09479, -0.02862, -0.16483, -0.97392, -0.15565, -1.00,  1.00,  0.50196,  0.50196,  0.50196
53, 18, -0.05628,  0.09528, -0.02947,  0.44795, -0.2728, -0.85139, -1.00,  1.00,  0.50196,  0.50196,  0.50196
54, 20, -0.04975,  0.09286, -0.02464,  0.83408, -0.36849,  0.41045,  1.00,  1.00,  0.50196,  0.50196,  1.00
55, 21, -0.05632,  0.09525, -0.02698, -0.40094, -0.56611,  0.72013, -1.00,  1.00,  0.50196,  0.50196,  0.50196
56, 19, -0.05613,  0.09479, -0.02862, -0.16483, -0.97392, -0.15565, -1.00,  1.00,  0.50196,  0.50196,  0.50196
57, 22, -0.06095,  0.09654, -0.02825, -0.33531, -0.57586,  0.74531,  1.00,  1.00,  0.50196,  0.50196,  0.50196
58, 19, -0.05613,  0.09479, -0.02862, -0.16483, -0.97392, -0.15565, -1.00,  1.00,  0.50196,  0.50196,  0.50196
59, 21, -0.05632,  0.09525, -0.02698, -0.40094, -0.56611,  0.72013, -1.00,  1.00,  0.50196,  0.50196,  0.50196
60, 22, -0.06095,  0.09654, -0.02825, -0.33531, -0.57586,  0.74531,  1.00,  1.00,  0.50196,  0.50196,  0.50196
61, 17, -0.06042,  0.09589, -0.03013, -0.18432, -0.98107, -0.05724, -1.00,  1.00,  0.50196,  0.50196,  0.50196
62, 19, -0.05613,  0.09479, -0.02862, -0.16483, -0.97392, -0.15565, -1.00,  1.00,  0.50196,  0.50196,  0.50196
63, 17, -0.06042,  0.09589, -0.03013, -0.18432, -0.98107, -0.05724, -1.00,  1.00,  0.50196,  0.50196,  0.50196
64, 23, -0.0673,  0.09799, -0.02987, -0.25464, -0.59923,  0.75869,  1.00,  1.00,  0.50196,  0.50196,  0.50196
65, 15, -0.06697,  0.09702, -0.03332, -0.08449, -0.99044, -0.10775, -1.00,  1.00,  0.50196,  0.50196,  0.50196
66, 17, -0.06042,  0.09589, -0.03013, -0.18432, -0.98107, -0.05724, -1.00,  1.00,  0.50196,  0.50196,  0.50196
67, 22, -0.06095,  0.09654, -0.02825, -0.33531, -0.57586,  0.74531,  1.00,  1.00,  0.50196,  0.50196,  0.50196
68, 23, -0.0673,  0.09799, -0.02987, -0.25464, -0.59923,  0.75869,  1.00,  1.00,  0.50196,  0.50196,  0.50196
69, 15, -0.06697,  0.09702, -0.03332, -0.08449, -0.99044, -0.10775, -1.00,  1.00,  0.50196,  0.50196,  0.50196
70, 24, -0.07658,  0.09929, -0.03126, -0.13261, -0.62657,  0.76754,  1.00,  1.00,  0.50196,  0.50196,  0.50196
71, 13, -0.07639,  0.09759, -0.03654,  0.00008, -0.97792, -0.20803, -1.00,  1.00,  0.50196,  0.50196,  0.50196
72, 15, -0.06697,  0.09702, -0.03332, -0.08449, -0.99044, -0.10775, -1.00,  1.00,  0.50196,  0.50196,  0.50196
73, 23, -0.0673,  0.09799, -0.02987, -0.25464, -0.59923,  0.75869,  1.00,  1.00,  0.50196,  0.50196,  0.50196
74, 24, -0.07658,  0.09929, -0.03126, -0.13261, -0.62657,  0.76754,  1.00,  1.00,  0.50196,  0.50196,  0.50196
75, 13, -0.07639,  0.09759, -0.03654,  0.00008, -0.97792, -0.20803, -1.00,  1.00,  0.50196,  0.50196,  0.50196
76, 24, -0.07658,  0.09929, -0.03126, -0.13261, -0.62657,  0.76754,  1.00,  1.00,  0.50196,  0.50196,  0.50196
77, 25, -0.08822,  0.10, -0.03253, -0.02976, -0.66795,  0.74287,  1.00,  1.00,  0.50196,  0.50196,  0.50196
78, 13, -0.07639,  0.09759, -0.03654,  0.00008, -0.97792, -0.20803, -1.00,  1.00,  0.50196,  0.50196,  0.50196
79, 25, -0.08822,  0.10, -0.03253, -0.02976, -0.66795,  0.74287,  1.00,  1.00,  0.50196,  0.50196,  0.50196
80, 26, -0.08796,  0.0983, -0.03918,  0.03739, -0.93552, -0.35072, -1.00,  1.00,  0.50196,  0.50196,  0.50196
81, 26, -0.08796,  0.0983, -0.03918,  0.03739, -0.93552, -0.35072, -1.00,  1.00,  0.50196,  0.50196,  0.50196
82, 25, -0.08822,  0.10, -0.03253, -0.02976, -0.66795,  0.74287,  1.00,  1.00,  0.50196,  0.50196,  0.50196
83, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
84, 26, -0.08796,  0.0983, -0.03918,  0.03739, -0.93552, -0.35072, -1.00,  1.00,  0.50196,  0.50196,  0.50196
85, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
86, 28, -0.10114,  0.09856, -0.04032,  0.01472, -0.87177, -0.48922, -1.00,  1.00,  0.50196,  0.50196,  0.50196
87, 28, -0.10114,  0.09856, -0.04032,  0.01472, -0.87177, -0.48922, -1.00,  1.00,  0.50196,  0.50196,  0.50196
88, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
89, 29, -0.11255,  0.09799, -0.03123,  0.18754, -0.76267,  0.61856, -1.00,  1.00,  0.50196,  0.50196,  0.50196
90, 28, -0.10114,  0.09856, -0.04032,  0.01472, -0.87177, -0.48922, -1.00,  1.00,  0.50196,  0.50196,  0.50196
91, 29, -0.11255,  0.09799, -0.03123,  0.18754, -0.76267,  0.61856, -1.00,  1.00,  0.50196,  0.50196,  0.50196
92, 30, -0.11261,  0.09779, -0.0389, -0.0459, -0.85218, -0.52074, -1.00,  1.00,  0.50196,  0.50196,  0.50196
93, 30, -0.11261,  0.09779, -0.0389, -0.0459, -0.85218, -0.52074, -1.00,  1.00,  0.50196,  0.50196,  0.50196
94, 29, -0.11255,  0.09799, -0.03123,  0.18754, -0.76267,  0.61856, -1.00,  1.00,  0.50196,  0.50196,  0.50196
95, 31, -0.1245,  0.09709, -0.02845,  0.24484, -0.81016,  0.53209, -1.00,  1.00,  0.50196,  0.50196,  0.00
96, 30, -0.11261,  0.09779, -0.0389, -0.0459, -0.85218, -0.52074, -1.00,  1.00,  0.50196,  0.50196,  0.50196
97, 31, -0.1245,  0.09709, -0.02845,  0.24484, -0.81016,  0.53209, -1.00,  1.00,  0.50196,  0.50196,  0.00
98, 32, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626, -1.00,  1.00,  0.50196,  0.50196,  0.00
99, 32, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626, -1.00,  1.00,  0.50196,  0.50196,  0.00
100, 31, -0.1245,  0.09709, -0.02845,  0.24484, -0.81016,  0.53209, -1.00,  1.00,  0.50196,  0.50196,  0.00
101, 33, -0.13713,  0.09523, -0.02396,  0.27597, -0.77742,  0.5652, -1.00,  1.00,  0.50196,  0.50196,  0.00
102, 32, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626, -1.00,  1.00,  0.50196,  0.50196,  0.00
103, 33, -0.13713,  0.09523, -0.02396,  0.27597, -0.77742,  0.5652, -1.00,  1.00,  0.50196,  0.50196,  0.00
104, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
105, 31, -0.1245,  0.09709, -0.02845,  0.24484, -0.81016,  0.53209, -1.00,  1.00,  0.50196,  0.50196,  0.00
106, 34, -0.13711,  0.10222, -0.02196,  0.28166, -0.84268,  0.45887, -1.00,  1.00,  0.50196,  0.50196,  0.00
107, 33, -0.13713,  0.09523, -0.02396,  0.27597, -0.77742,  0.5652, -1.00,  1.00,  0.50196,  0.50196,  0.00
108, 31, -0.1245,  0.09709, -0.02845,  0.24484, -0.81016,  0.53209, -1.00,  1.00,  0.50196,  0.50196,  0.00
109, 35, -0.12466,  0.10393, -0.0262,  0.29699, -0.80796,  0.50893, -1.00,  1.00,  0.50196,  0.50196,  0.00
110, 34, -0.13711,  0.10222, -0.02196,  0.28166, -0.84268,  0.45887, -1.00,  1.00,  0.50196,  0.50196,  0.00
111, 29, -0.11255,  0.09799, -0.03123,  0.18754, -0.76267,  0.61856, -1.00,  1.00,  0.50196,  0.50196,  0.50196
112, 35, -0.12466,  0.10393, -0.0262,  0.29699, -0.80796,  0.50893, -1.00,  1.00,  0.50196,  0.50196,  0.00
113, 31, -0.1245,  0.09709, -0.02845,  0.24484, -0.81016,  0.53209, -1.00,  1.00,  0.50196,  0.50196,  0.00
114, 29, -0.11255,  0.09799, -0.03123,  0.18754, -0.76267,  0.61856, -1.00,  1.00,  0.50196,  0.50196,  0.50196
115, 36, -0.11266,  0.10638, -0.02981,  0.25125, -0.79942,  0.54508, -1.00,  1.00,  0.50196,  0.50196,  0.50196
116, 35, -0.12466,  0.10393, -0.0262,  0.29699, -0.80796,  0.50893, -1.00,  1.00,  0.50196,  0.50196,  0.00
117, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
118, 36, -0.11266,  0.10638, -0.02981,  0.25125, -0.79942,  0.54508, -1.00,  1.00,  0.50196,  0.50196,  0.50196
119, 29, -0.11255,  0.09799, -0.03123,  0.18754, -0.76267,  0.61856, -1.00,  1.00,  0.50196,  0.50196,  0.50196
120, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
121, 37, -0.10193,  0.10817, -0.03165,  0.12031, -0.83513,  0.53594, -1.00,  1.00,  0.50196,  0.50196,  0.50196
122, 36, -0.11266,  0.10638, -0.02981,  0.25125, -0.79942,  0.54508, -1.00,  1.00,  0.50196,  0.50196,  0.50196
123, 38, -0.10125,  0.11121, -0.03157, -0.00259,  0.80912, -0.58693, -1.00,  1.00,  0.50196,  0.50196,  0.00
124, 39, -0.10193,  0.10817, -0.03165,  0.12031, -0.83513,  0.53594, -1.00,  1.00,  0.50196,  0.50196,  0.50196
125, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
126, 38, -0.10125,  0.11121, -0.03157, -0.00259,  0.80912, -0.58693, -1.00,  1.00,  0.50196,  0.50196,  0.00
127, 27, -0.10151,  0.09892, -0.03261,  0.09309, -0.72908,  0.67786, -1.00,  1.00,  0.50196,  0.50196,  0.50196
128, 40, -0.08822,  0.10, -0.03253, -0.02976, -0.66795,  0.74287, -1.00,  1.00,  0.50196,  0.50196,  0.50196
129, 40, -0.08822,  0.10, -0.03253, -0.02976, -0.66795,  0.74287, -1.00,  1.00,  0.50196,  0.50196,  0.50196
130, 41, -0.08828,  0.10949, -0.03088,  0.12088,  0.88467,  0.44972, -1.00,  1.00,  0.50196,  0.50196,  0.30196
131, 38, -0.10125,  0.11121, -0.03157, -0.00259,  0.80912, -0.58693, -1.00,  1.00,  0.50196,  0.50196,  0.00
132, 24, -0.07658,  0.09929, -0.03126, -0.13261, -0.62657,  0.76754,  1.00,  1.00,  0.50196,  0.50196,  0.50196
133, 42, -0.08828,  0.10949, -0.03088,  0.12088,  0.88467,  0.44972,  1.00,  1.00,  0.50196,  0.50196,  0.30196
134, 40, -0.08822,  0.10, -0.03253, -0.02976, -0.66795,  0.74287, -1.00,  1.00,  0.50196,  0.50196,  0.50196
135, 24, -0.07658,  0.09929, -0.03126, -0.13261, -0.62657,  0.76754,  1.00,  1.00,  0.50196,  0.50196,  0.50196
136, 43, -0.0757,  0.10695, -0.03048,  0.19121,  0.88524,  0.42364,  1.00,  1.00,  0.50196,  0.50196,  0.50196
137, 42, -0.08828,  0.10949, -0.03088,  0.12088,  0.88467,  0.44972,  1.00,  1.00,  0.50196,  0.50196,  0.30196
138, 23, -0.0673,  0.09799, -0.02987, -0.25464, -0.59923,  0.75869,  1.00,  1.00,  0.50196,  0.50196,  0.50196
139, 43, -0.0757,  0.10695, -0.03048,  0.19121,  0.88524,  0.42364,  1.00,  1.00,  0.50196,  0.50196,  0.50196
140, 24, -0.07658,  0.09929, -0.03126, -0.13261, -0.62657,  0.76754,  1.00,  1.00,  0.50196,  0.50196,  0.50196
141, 23, -0.0673,  0.09799, -0.02987, -0.25464, -0.59923,  0.75869,  1.00,  1.00,  0.50196,  0.50196,  0.50196
142, 44, -0.06679,  0.10411, -0.02949,  0.3023,  0.86188,  0.40668,  1.00,  1.00,  0.50196,  0.50196,  0.50196
143, 43, -0.0757,  0.10695, -0.03048,  0.19121,  0.88524,  0.42364,  1.00,  1.00,  0.50196,  0.50196,  0.50196
144, 22, -0.06095,  0.09654, -0.02825, -0.33531, -0.57586,  0.74531,  1.00,  1.00,  0.50196,  0.50196,  0.50196
145, 44, -0.06679,  0.10411, -0.02949,  0.3023,  0.86188,  0.40668,  1.00,  1.00,  0.50196,  0.50196,  0.50196
146, 23, -0.0673,  0.09799, -0.02987, -0.25464, -0.59923,  0.75869,  1.00,  1.00,  0.50196,  0.50196,  0.50196
147, 22, -0.06095,  0.09654, -0.02825, -0.33531, -0.57586,  0.74531,  1.00,  1.00,  0.50196,  0.50196,  0.50196
148, 45, -0.06104,  0.10107, -0.0281,  0.34597,  0.81531,  0.46406, -1.00,  1.00,  0.50196,  0.50196,  0.50196
149, 44, -0.06679,  0.10411, -0.02949,  0.3023,  0.86188,  0.40668,  1.00,  1.00,  0.50196,  0.50196,  0.50196
150, 46, -0.05632,  0.09525, -0.02698, -0.40094, -0.56611,  0.72013,  1.00,  1.00,  0.50196,  0.50196,  0.50196
151, 47, -0.06104,  0.10107, -0.0281,  0.34597,  0.81531,  0.46406,  1.00,  1.00,  0.50196,  0.50196,  0.50196
152, 22, -0.06095,  0.09654, -0.02825, -0.33531, -0.57586,  0.74531,  1.00,  1.00,  0.50196,  0.50196,  0.50196
153, 46, -0.05632,  0.09525, -0.02698, -0.40094, -0.56611,  0.72013,  1.00,  1.00,  0.50196,  0.50196,  0.50196
154, 48, -0.05654,  0.09823, -0.027,  0.41038,  0.7757,  0.47934, -1.00,  1.00,  0.50196,  0.50196,  0.50196
155, 47, -0.06104,  0.10107, -0.0281,  0.34597,  0.81531,  0.46406,  1.00,  1.00,  0.50196,  0.50196,  0.50196
156, 46, -0.05632,  0.09525, -0.02698, -0.40094, -0.56611,  0.72013,  1.00,  1.00,  0.50196,  0.50196,  0.50196
157, 49, -0.04975,  0.09286, -0.02464,  0.83408, -0.36849,  0.41045, -1.00,  1.00,  0.50196,  0.50196,  1.00
158, 48, -0.05654,  0.09823, -0.027,  0.41038,  0.7757,  0.47934, -1.00,  1.00,  0.50196,  0.50196,  0.50196
159, 50, -0.17912,  0.07975,  0.0069, -0.93003, -0.22484, -0.2907, -1.00,  1.00,  0.50196,  0.50196,  0.50196
160, 51, -0.17705,  0.07987,  0.00451, -0.84238, -0.30949, -0.44114,  1.00,  1.00,  0.50196,  0.50196,  0.00
161, 52, -0.17832,  0.07562,  0.01366, -0.96837, -0.2469, -0.03623, -1.00,  1.00,  0.50196,  0.50196,  0.00
162, 53, -0.17332,  0.0843, -0.00733, -0.82669,  0.26728, -0.49512,  1.00,  1.00,  0.50196,  0.50196,  0.00
163, 51, -0.17705,  0.07987,  0.00451, -0.84238, -0.30949, -0.44114,  1.00,  1.00,  0.50196,  0.50196,  0.00
164, 54, -0.17912,  0.07975,  0.0069, -0.93003, -0.22484, -0.2907,  1.00,  1.00,  0.50196,  0.50196,  0.50196
165, 53, -0.17332,  0.0843, -0.00733, -0.82669,  0.26728, -0.49512,  1.00,  1.00,  0.50196,  0.50196,  0.00
166, 54, -0.17912,  0.07975,  0.0069, -0.93003, -0.22484, -0.2907,  1.00,  1.00,  0.50196,  0.50196,  0.50196
167, 55, -0.17555,  0.0868, -0.00147, -0.91077,  0.26962, -0.31273,  1.00,  1.00,  0.50196,  0.50196,  0.00
168, 56, -0.16783,  0.09478, -0.00928, -0.7318,  0.52989, -0.42858,  1.00,  1.00,  0.50196,  0.50196,  0.00
169, 53, -0.17332,  0.0843, -0.00733, -0.82669,  0.26728, -0.49512,  1.00,  1.00,  0.50196,  0.50196,  0.00
170, 55, -0.17555,  0.0868, -0.00147, -0.91077,  0.26962, -0.31273,  1.00,  1.00,  0.50196,  0.50196,  0.00
171, 56, -0.16783,  0.09478, -0.00928, -0.7318,  0.52989, -0.42858,  1.00,  1.00,  0.50196,  0.50196,  0.00
172, 57, -0.16564,  0.08806, -0.01536, -0.6403,  0.64435, -0.41813,  1.00,  1.00,  0.50196,  0.50196,  0.00
173, 53, -0.17332,  0.0843, -0.00733, -0.82669,  0.26728, -0.49512,  1.00,  1.00,  0.50196,  0.50196,  0.00
174, 55, -0.17555,  0.0868, -0.00147, -0.91077,  0.26962, -0.31273,  1.00,  1.00,  0.50196,  0.50196,  0.00
175, 54, -0.17912,  0.07975,  0.0069, -0.93003, -0.22484, -0.2907,  1.00,  1.00,  0.50196,  0.50196,  0.50196
176, 58, -0.17931,  0.08054,  0.01527, -0.992,  0.12572,  0.01176,  1.00,  1.00,  0.50196,  0.50196,  0.50196
177, 54, -0.17912,  0.07975,  0.0069, -0.93003, -0.22484, -0.2907,  1.00,  1.00,  0.50196,  0.50196,  0.50196
178, 59, -0.17832,  0.07562,  0.01366, -0.96837, -0.2469, -0.03623,  1.00,  1.00,  0.50196,  0.50196,  0.00
179, 58, -0.17931,  0.08054,  0.01527, -0.992,  0.12572,  0.01176,  1.00,  1.00,  0.50196,  0.50196,  0.50196
180, 59, -0.17832,  0.07562,  0.01366, -0.96837, -0.2469, -0.03623,  1.00,  1.00,  0.50196,  0.50196,  0.00
181, 60, -0.17708,  0.06922,  0.02413, -0.92827, -0.06369,  0.36641,  1.00,  1.00,  0.50196,  0.50196,  0.00
182, 58, -0.17931,  0.08054,  0.01527, -0.992,  0.12572,  0.01176,  1.00,  1.00,  0.50196,  0.50196,  0.50196
183, 60, -0.17708,  0.06922,  0.02413, -0.92827, -0.06369,  0.36641,  1.00,  1.00,  0.50196,  0.50196,  0.00
184, 61, -0.17858,  0.0801,  0.02173, -0.97645,  0.10451,  0.18875,  1.00,  1.00,  0.50196,  0.50196,  0.50196
185, 58, -0.17931,  0.08054,  0.01527, -0.992,  0.12572,  0.01176,  1.00,  1.00,  0.50196,  0.50196,  0.50196
186, 62, -0.17547,  0.08822,  0.00769, -0.86733,  0.49443, -0.0573,  1.00,  1.00,  0.50196,  0.50196,  0.50196
187, 58, -0.17931,  0.08054,  0.01527, -0.992,  0.12572,  0.01176,  1.00,  1.00,  0.50196,  0.50196,  0.50196
188, 61, -0.17858,  0.0801,  0.02173, -0.97645,  0.10451,  0.18875,  1.00,  1.00,  0.50196,  0.50196,  0.50196
189, 55, -0.17555,  0.0868, -0.00147, -0.91077,  0.26962, -0.31273,  1.00,  1.00,  0.50196,  0.50196,  0.00
190, 58, -0.17931,  0.08054,  0.01527, -0.992,  0.12572,  0.01176,  1.00,  1.00,  0.50196,  0.50196,  0.50196
191, 62, -0.17547,  0.08822,  0.00769, -0.86733,  0.49443, -0.0573,  1.00,  1.00,  0.50196,  0.50196,  0.50196
192, 62, -0.17547,  0.08822,  0.00769, -0.86733,  0.49443, -0.0573,  1.00,  1.00,  0.50196,  0.50196,  0.50196
193, 61, -0.17858,  0.0801,  0.02173, -0.97645,  0.10451,  0.18875,  1.00,  1.00,  0.50196,  0.50196,  0.50196
194, 63, -0.17626,  0.08756,  0.02102, -0.87676,  0.47211,  0.09171,  1.00,  1.00,  0.50196,  0.50196,  0.50196
195, 64, -0.16849,  0.09742,  0.00196, -0.71545,  0.69028, -0.10791,  1.00,  1.00,  0.50196,  0.50196,  0.50196
196, 55, -0.17555,  0.0868, -0.00147, -0.91077,  0.26962, -0.31273,  1.00,  1.00,  0.50196,  0.50196,  0.00
197, 62, -0.17547,  0.08822,  0.00769, -0.86733,  0.49443, -0.0573,  1.00,  1.00,  0.50196,  0.50196,  0.50196
198, 64, -0.16849,  0.09742,  0.00196, -0.71545,  0.69028, -0.10791,  1.00,  1.00,  0.50196,  0.50196,  0.50196
199, 62, -0.17547,  0.08822,  0.00769, -0.86733,  0.49443, -0.0573,  1.00,  1.00,  0.50196,  0.50196,  0.50196
