VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
24, 12908,  0.64113, -0.21153,  0.00268,  0.07792,  0.6314, -0.76899, -0.12735, -0.17878, -0.97377,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.75846,  0.06095
25, 12909,  0.69401, -0.21707,  0.00402,  0.07987,  0.61453, -0.78484, -0.02701, -0.10784, -0.9938,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.7617,  0.05411
26, 12910,  0.69232, -0.22587, -0.00303,  0.07987,  0.61453, -0.78484, -0.26657, -0.5587, -0.78536,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.76039,  0.05356
27, 12911,  0.15096, -0.14289,  0.01406, -0.14116, -0.98672, -0.07712, -0.13913, -0.94436, -0.29721,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772
28, 12912,  0.09224, -0.13294,  0.01759, -0.16652, -0.98479, -0.04515, -0.15818, -0.98511, -0.0641, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94811,  0.05187
29, 12913,  0.09232, -0.13147, -0.01477, -0.16662, -0.98478, -0.04502, -0.14912, -0.98645, -0.0652, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483
30, 12914,  0.15096, -0.14289,  0.01406, -0.11233, -0.98612, -0.12019, -0.13913, -0.94436, -0.29721,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772
31, 12915,  0.15094, -0.14364,  0.02015, -0.14052, -0.98256, -0.12037, -0.15042, -0.98024, -0.12715,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.93057,  0.05187
32, 12912,  0.09224, -0.13294,  0.01759, -0.16652, -0.98479, -0.04515, -0.15818, -0.98511, -0.0641, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94811,  0.05187
33, 12916,  0.15094, -0.1391, -0.01567, -0.11578, -0.98509, -0.12602, -0.11282, -0.98602, -0.12136, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.93065,  0.08483
34, 12914,  0.15096, -0.14289,  0.01406, -0.11233, -0.98612, -0.12019, -0.13913, -0.94436, -0.29721,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772
35, 12917,  0.09232, -0.13147, -0.01477, -0.14448, -0.98829, -0.04463, -0.14912, -0.98645, -0.0652,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483
36, 12918,  0.15094, -0.1391, -0.01567, -0.10954, -0.98611, -0.12363, -0.11282, -0.98602, -0.12136,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.93065,  0.08483
37, 12919,  0.23182, -0.15156,  0.01164, -0.12576, -0.98496, -0.11773, -0.09559, -0.41323, -0.90556,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661
38, 12914,  0.15096, -0.14289,  0.01406, -0.11233, -0.98612, -0.12019, -0.13913, -0.94436, -0.29721,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772
39, 12918,  0.15094, -0.1391, -0.01567, -0.10954, -0.98611, -0.12363, -0.11282, -0.98602, -0.12136,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.93065,  0.08483
40, 12920,  0.23211, -0.14798, -0.01584, -0.10248, -0.9864, -0.12807, -0.11547, -0.98558, -0.12324,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.9066,  0.08483
41, 12919,  0.23182, -0.15156,  0.01164, -0.12576, -0.98496, -0.11773, -0.09559, -0.41323, -0.90556,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661
42, 12919,  0.23182, -0.15156,  0.01164, -0.12576, -0.98496, -0.11773, -0.09559, -0.41323, -0.90556,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661
43, 12921,  0.23211, -0.14798, -0.01584, -0.12678, -0.9848, -0.11824, -0.11547, -0.98558, -0.12324, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.9066,  0.08483
44, 12922,  0.31731, -0.15852, -0.01577, -0.09731, -0.98823, -0.11769, -0.10594, -0.98722, -0.11868,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.88125,  0.08483
45, 12919,  0.23182, -0.15156,  0.01164, -0.12576, -0.98496, -0.11773, -0.09559, -0.41323, -0.90556,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661
46, 12922,  0.31731, -0.15852, -0.01577, -0.09731, -0.98823, -0.11769, -0.10594, -0.98722, -0.11868,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.88125,  0.08483
47, 12923,  0.31696, -0.16071,  0.00423, -0.11661, -0.98626, -0.11648, -0.13827, -0.49498, -0.8578,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.88101,  0.07328
48, 12923,  0.31696, -0.16071,  0.00423, -0.11661, -0.98626, -0.11648, -0.13827, -0.49498, -0.8578,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.88101,  0.07328
49, 12924,  0.31731, -0.15852, -0.01577, -0.11476, -0.9865, -0.11645, -0.10594, -0.98722, -0.11868, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.88125,  0.08483
50, 12925,  0.38301, -0.16587, -0.01506, -0.11237, -0.98371, -0.13941, -0.1052, -0.97266, -0.20644, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.86183,  0.08483
51, 12923,  0.31696, -0.16071,  0.00423, -0.11661, -0.98626, -0.11648, -0.13827, -0.49498, -0.8578,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.88101,  0.07328
52, 12925,  0.38301, -0.16587, -0.01506, -0.11237, -0.98371, -0.13941, -0.1052, -0.97266, -0.20644, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.86183,  0.08483
53, 12926,  0.38297, -0.16747, -0.00405, -0.11238, -0.98352, -0.14056, -0.17243, -0.54485, -0.82043,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.86169,  0.07961
54, 12926,  0.38297, -0.16747, -0.00405, -0.11238, -0.98352, -0.14056, -0.17243, -0.54485, -0.82043,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.86169,  0.07961
55, 12925,  0.38301, -0.16587, -0.01506, -0.11237, -0.98371, -0.13941, -0.1052, -0.97266, -0.20644, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.86183,  0.08483
56, 12927,  0.44283, -0.1724, -0.0134, -0.10588, -0.98121, -0.16058, -0.1184, -0.56134, -0.81891,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.85127,  0.08483
57, 12917,  0.09232, -0.13147, -0.01477, -0.14448, -0.98829, -0.04463, -0.14912, -0.98645, -0.0652,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483
58, 12928,  0.09224, -0.13294,  0.01759, -0.14438, -0.98829, -0.04475, -0.15818, -0.98511, -0.0641,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94811,  0.05187
59, 12929,  0.0271, -0.12238,  0.0095, -0.14958, -0.98801, -0.03824, -0.14207, -0.98836, -0.05442, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535
60, 12917,  0.09232, -0.13147, -0.01477, -0.14448, -0.98829, -0.04463, -0.14912, -0.98645, -0.0652,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483
61, 12929,  0.0271, -0.12238,  0.0095, -0.14958, -0.98801, -0.03824, -0.14207, -0.98836, -0.05442, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535
62, 12930,  0.02701, -0.12167, -0.00891, -0.14958, -0.98801, -0.03824, -0.1615, -0.98533, -0.0551,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.97588,  0.0798
63, 12931,  0.01714, -0.11991, -0.00693, -0.15412, -0.98544, -0.07178, -0.17337, -0.9817, -0.07883,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98004,  0.0779
64, 12930,  0.02701, -0.12167, -0.00891, -0.14958, -0.98801, -0.03824, -0.1615, -0.98533, -0.0551,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.97588,  0.0798
65, 12929,  0.0271, -0.12238,  0.0095, -0.14958, -0.98801, -0.03824, -0.14207, -0.98836, -0.05442, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535
66, 12931,  0.01714, -0.11991, -0.00693, -0.15412, -0.98544, -0.07178, -0.17337, -0.9817, -0.07883,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98004,  0.0779
67, 12929,  0.0271, -0.12238,  0.0095, -0.14958, -0.98801, -0.03824, -0.14207, -0.98836, -0.05442, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535
68, 12932,  0.0174, -0.12105,  0.00721, -0.15416, -0.98553, -0.07044, -0.13396, -0.98785, -0.07876, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98026,  0.05905
69, 12933,  0.00834, -0.11834, -0.00516, -0.15293, -0.98185, -0.11216, -0.17431, -0.97818, -0.11301,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98375,  0.07621
70, 12931,  0.01714, -0.11991, -0.00693, -0.15412, -0.98544, -0.07178, -0.17337, -0.9817, -0.07883,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98004,  0.0779
71, 12932,  0.0174, -0.12105,  0.00721, -0.15416, -0.98553, -0.07044, -0.13396, -0.98785, -0.07876, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98026,  0.05905
72, 12933,  0.00834, -0.11834, -0.00516, -0.15293, -0.98185, -0.11216, -0.17431, -0.97818, -0.11301,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98375,  0.07621
73, 12932,  0.0174, -0.12105,  0.00721, -0.15416, -0.98553, -0.07044, -0.13396, -0.98785, -0.07876, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98026,  0.05905
74, 12934,  0.00875, -0.11987,  0.00517, -0.15298, -0.982, -0.11079, -0.13082, -0.98492, -0.11319, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98399,  0.06236
75, 12935,  0.00555, -0.11784, -0.0046, -0.15144, -0.97652, -0.15322, -0.14871, -0.9801, -0.13151, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98493,  0.07567
76, 12933,  0.00834, -0.11834, -0.00516, -0.15293, -0.98185, -0.11216, -0.17431, -0.97818, -0.11301,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98375,  0.07621
77, 12934,  0.00875, -0.11987,  0.00517, -0.15298, -0.982, -0.11079, -0.13082, -0.98492, -0.11319, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98399,  0.06236
78, 12935,  0.00555, -0.11784, -0.0046, -0.15144, -0.97652, -0.15322, -0.14871, -0.9801, -0.13151, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98493,  0.07567
79, 12934,  0.00875, -0.11987,  0.00517, -0.15298, -0.982, -0.11079, -0.13082, -0.98492, -0.11319, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98399,  0.06236
80, 12936,  0.006, -0.1195,  0.00452, -0.15144, -0.97652, -0.15322, -0.13188, -0.98265, -0.13042, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.98517,  0.0634
81, 12937,  0.69316, -0.20844, -0.02268, -0.18819, -0.93917, -0.28732, -0.17373, -0.93699, -0.3031, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483
82, 12938,  0.71637, -0.22213,  0.00516, -0.19632, -0.93481, -0.29596,  0.03709, -0.54399, -0.83827, -1.00,  1.00,  0.50196,  0.50196,  0.00,  0.76375,  0.06975
83, 12939,  0.69401, -0.21707,  0.00402, -0.19632, -0.93481, -0.29596, -0.02701, -0.10784, -0.9938,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.7701,  0.07029
84, 12940,  0.63965, -0.20577,  0.00461, -0.18057, -0.93126, -0.30966, -0.11754, -0.44951, -0.88327,  1.00,  1.00,  0.50196,  0.50196,  0.03529,  0.78593,  0.07088
85, 12941,  0.63692, -0.19749, -0.02049, -0.18297, -0.93375, -0.30264, -0.16903, -0.94776, -0.2648, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.78685,  0.08483
86, 12937,  0.69316, -0.20844, -0.02268, -0.18819, -0.93917, -0.28732, -0.17373, -0.93699, -0.3031, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483
87, 12940,  0.63965, -0.20577,  0.00461, -0.18057, -0.93126, -0.30966, -0.11754, -0.44951, -0.88327,  1.00,  1.00,  0.50196,  0.50196,  0.03529,  0.78593,  0.07088
88, 12937,  0.69316, -0.20844, -0.02268, -0.18819, -0.93917, -0.28732, -0.17373, -0.93699, -0.3031, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483
89, 12942,  0.69401, -0.21707,  0.00402, -0.18819, -0.93917, -0.28732, -0.02701, -0.10784, -0.9938, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.7701,  0.07029
90, 12943,  0.69316, -0.20844, -0.02268, -0.17076, -0.94908, -0.26473, -0.17373, -0.93699, -0.3031,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483
91, 12944,  0.75404, -0.21879, -0.02487, -0.17076, -0.94908, -0.26473, -0.14903, -0.94774, -0.2821, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.75324,  0.08483
92, 12945,  0.73643, -0.22061, -0.00696, -0.17076, -0.94908, -0.26473, -0.1421, -0.94327, -0.30007, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.75837,  0.07684
93, 12946,  0.69316, -0.20844, -0.02268, -0.13681, -0.92936, -0.3429, -0.17373, -0.93699, -0.3031,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483
94, 12947,  0.73643, -0.22061, -0.00696, -0.13681, -0.92936, -0.3429, -0.1421, -0.94327, -0.30007,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.75837,  0.07684
95, 12948,  0.71637, -0.22213,  0.00516, -0.13681, -0.92936, -0.3429,  0.03709, -0.54399, -0.83827, -1.00,  1.00,  0.50196,  0.50196,  0.00,  0.76375,  0.06975
96, 12949,  0.64113, -0.21153,  0.00268, -0.03226,  0.31079, -0.948, -0.12735, -0.17878, -0.97377,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.75846,  0.06095
97, 12950,  0.56549, -0.19494,  0.01156, -0.02813,  0.42291, -0.90238, -0.14377, -0.82028, -0.54757,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.75426,  0.07131
98, 12951,  0.63965, -0.20577,  0.00461, -0.03222,  0.31185, -0.94756, -0.11754, -0.44951, -0.88327,  1.00,  1.00,  0.50196,  0.50196,  0.03529,  0.75904,  0.06159
99, 12952,  0.64113, -0.21153,  0.00268,  0.05434,  0.33051, -0.94018, -0.12735, -0.17878, -0.97377,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.75846,  0.06095
100, 12953,  0.63965, -0.20577,  0.00461,  0.05437,  0.33159, -0.93971, -0.11754, -0.44951, -0.88327,  1.00,  1.00,  0.50196,  0.50196,  0.03529,  0.75904,  0.06159
101, 12954,  0.69401, -0.21707,  0.00402,  0.05374,  0.30937, -0.94942, -0.02701, -0.10784, -0.9938,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.7617,  0.05411
102, 12955,  0.51738, -0.19802,  0.03102, -0.14964, -0.85884, -0.48691, -0.12599, -0.91711, -0.37424, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82226,  0.05187
103, 12956,  0.56549, -0.19494,  0.01156, -0.15829, -0.86829, -0.46297, -0.14377, -0.82028, -0.54757, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.80794,  0.06507
104, 12957,  0.56863, -0.20669,  0.03095, -0.15149, -0.86048, -0.48249, -0.17352, -0.88593, -0.42567,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.80748,  0.05187
105, 12958,  0.23182, -0.15156,  0.01164,  0.03932,  0.63027, -0.77534, -0.09559, -0.41323, -0.90556, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.76223,  0.05719
106, 12959,  0.23302, -0.15538,  0.00859,  0.03938,  0.63029, -0.77532, -0.12935, -0.39659, -0.9088, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.7618,  0.05684
107, 12960,  0.15096, -0.14289,  0.01406,  0.04397,  0.62417, -0.77984, -0.13913, -0.94436, -0.29721, -1.00,  1.00,  0.50196,  0.50196,  0.00,  0.76406,  0.0523
108, 12961,  0.44283, -0.1724, -0.0134, -0.00575,  0.2654, -0.96388, -0.1184, -0.56134, -0.81891, -1.00,  0.00,  0.00,  0.00,  0.00,  0.75945,  0.05657
109, 12962,  0.51317, -0.17991, -0.01635, -0.01186,  0.25724, -0.96499, -0.09666, -0.80023, -0.58965, -1.00,  0.00,  0.00,  0.00,  0.00,  0.76084,  0.06205
110, 12963,  0.44733, -0.17698, -0.01469, -0.0061,  0.26577, -0.96378, -0.12478, -0.49252, -0.86115, -1.00,  0.00,  0.00,  0.00,  0.00,  0.76439,  0.05764
111, 12964,  0.006, -0.1195,  0.00452, -0.14053, -0.98344, -0.1144, -0.13188, -0.98265, -0.13042,  1.00,  0.00,  0.00,  0.00,  0.00,  0.71007,  0.51809
112, 12965,  0.00566, -0.11968,  0.00653, -0.14053, -0.98344, -0.1144, -0.12395, -0.98618, -0.10994,  1.00,  0.00,  0.00,  0.00,  0.00,  0.71007,  0.52463
113, 12966, -0.01645, -0.11608,  0.00274, -0.14053, -0.98344, -0.1144, -0.13431, -0.98218, -0.13144,  1.00,  0.00,  0.00,  0.00,  0.00,  0.71661,  0.51809
114, 12967, -0.01743, -0.11528, -0.0031, -0.11758, -0.98589, -0.11913, -0.12282, -0.98337, -0.1338,  1.00,  0.00,  0.00,  0.00,  0.00,  0.71007,  0.51809
115, 12968,  0.00532, -0.11757, -0.00661, -0.11758, -0.98589, -0.11913, -0.15761, -0.98112, -0.1121,  1.00,  0.00,  0.00,  0.00,  0.00,  0.71661,  0.52463
116, 12969,  0.00555, -0.11784, -0.0046, -0.11758, -0.98589, -0.11913, -0.14871, -0.9801, -0.13151,  1.00,  0.00,  0.00,  0.00,  0.00,  0.71661,  0.51809
117, 12970, -0.69059, -0.07746,  0.08208, -0.40079,  0.30896,  0.86251, -0.37617,  0.31834,  0.87015, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682
118, 12971, -0.69494, -0.07667,  0.08039, -0.29312,  0.31894,  0.90131, -0.66785, -0.19405,  0.71856,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20705,  0.21963
119, 12972, -0.69136, -0.08014,  0.08278, -0.34856,  0.32866,  0.87777, -0.69585, -0.17594,  0.6963,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986
120, 12970, -0.69059, -0.07746,  0.08208, -0.40079,  0.30896,  0.86251, -0.37617,  0.31834,  0.87015, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682
121, 12973, -0.69136, -0.08014,  0.08278, -0.34856,  0.32866,  0.87777, -0.69585, -0.17594,  0.6963, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986
122, 12974, -0.68873, -0.08278,  0.08497, -0.39931,  0.23123,  0.88718, -0.5527, -0.38454,  0.73936, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199
123, 12975, -0.68304, -0.07798,  0.08631, -0.35304,  0.16207,  0.92146, -0.52373, -0.28308,  0.80347, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104
124, 12970, -0.69059, -0.07746,  0.08208, -0.40079,  0.30896,  0.86251, -0.37617,  0.31834,  0.87015, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682
125, 12974, -0.68873, -0.08278,  0.08497, -0.39931,  0.23123,  0.88718, -0.5527, -0.38454,  0.73936, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199
126, 12975, -0.68304, -0.07798,  0.08631, -0.35304,  0.16207,  0.92146, -0.52373, -0.28308,  0.80347, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104
127, 12974, -0.68873, -0.08278,  0.08497, -0.39931,  0.23123,  0.88718, -0.5527, -0.38454,  0.73936, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199
128, 12976, -0.67746, -0.08288,  0.08875, -0.31509,  0.11116,  0.94253, -0.32129, -0.63227,  0.70499, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21847,  0.21083
129, 12977, -0.69388, -0.08154, -0.05749, -0.44139,  0.25861, -0.85924, -0.41717,  0.2675, -0.86857,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682
130, 12978, -0.69468, -0.08425, -0.058, -0.38997,  0.27732, -0.87808, -0.72763, -0.21535, -0.65129, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986
131, 12979, -0.69815, -0.08064, -0.05564, -0.33568,  0.26616, -0.90359, -0.70068, -0.23476, -0.67375, -1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20705,  0.21963
132, 12977, -0.69388, -0.08154, -0.05749, -0.44139,  0.25861, -0.85924, -0.41717,  0.2675, -0.86857,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682
133, 12980, -0.69216, -0.08703, -0.06015, -0.44097,  0.17957, -0.87938, -0.58638, -0.4263, -0.68879,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199
134, 12981, -0.69468, -0.08425, -0.058, -0.38997,  0.27732, -0.87808, -0.72763, -0.21535, -0.65129,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986
135, 12982, -0.68654, -0.08232, -0.06203, -0.39627,  0.10847, -0.9117, -0.5606, -0.3288, -0.76001,  1.00,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104
