VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w
14, 7, -0.05151,  0.07786, -0.02225, -0.68821,  0.47191, -0.55081, -1.00,  1.00,  0.00,  0.00,  0.00
15, 8, -0.05079,  0.07662, -0.02375, -0.67989, -0.70671,  0.19524,  1.00,  1.00,  0.00,  0.00,  0.00
16, 6, -0.05129,  0.07747, -0.02172, -0.63182, -0.77018,  0.0862, -1.00,  1.00,  0.00,  0.00,  0.00
17, 7, -0.05151,  0.07786, -0.02225, -0.68821,  0.47191, -0.55081, -1.00,  1.00,  0.00,  0.00,  0.00
18, 8, -0.05079,  0.07662, -0.02375, -0.67989, -0.70671,  0.19524,  1.00,  1.00,  0.00,  0.00,  0.00
19, 7, -0.05151,  0.07786, -0.02225, -0.68821,  0.47191, -0.55081, -1.00,  1.00,  0.00,  0.00,  0.00
20, 9, -0.05106,  0.07709, -0.02422, -0.8052,  0.55207, -0.21569,  1.00,  1.00,  0.00,  0.00,  0.00
21, 9, -0.05106,  0.07709, -0.02422, -0.8052,  0.55207, -0.21569,  1.00,  1.00,  0.00,  0.00,  0.00
22, 10, -0.05073,  0.07554, -0.02739, -0.75682, -0.61819,  0.2119,  1.00,  1.00,  0.00,  0.00,  0.00
23, 8, -0.05079,  0.07662, -0.02375, -0.67989, -0.70671,  0.19524,  1.00,  1.00,  0.00,  0.00,  0.00
24, 11, -0.05625,  0.07909, -0.0232,  0.80901,  0.02072, -0.58708, -1.00,  1.00,  0.00,  0.00,  0.00
25, 12, -0.05625,  0.07936, -0.02285,  0.65471,  0.62586, -0.4232, -1.00,  1.00,  0.00,  0.00,  0.00
26, 13, -0.05518,  0.07951, -0.02125,  0.64473,  0.47729, -0.59679, -1.00,  1.00,  0.00,  0.00,  0.00
27, 14, -0.05449,  0.07908,  0.02041,  0.26567, -0.92867,  0.25791,  1.00,  1.00,  0.00,  0.00,  0.00
28, 15, -0.05367,  0.07915,  0.01944, -0.25872, -0.9597,  0.10835, -1.00,  1.00,  0.00,  0.00,  0.00
29, 16, -0.05332,  0.0794,  0.01984,  0.33035,  0.12628,  0.93532, -1.00,  1.00,  0.00,  0.00,  0.00
30, 17, -0.05305,  0.07877,  0.01977, -0.63716, -0.76841,  0.05733, -1.00,  1.00,  0.00,  0.00,  0.00
31, 16, -0.05332,  0.0794,  0.01984,  0.33035,  0.12628,  0.93532, -1.00,  1.00,  0.00,  0.00,  0.00
32, 18, -0.05367,  0.07915,  0.01944, -0.25872, -0.9597,  0.10835,  1.00,  1.00,  0.00,  0.00,  0.00
33, 17, -0.05305,  0.07877,  0.01977, -0.63716, -0.76841,  0.05733, -1.00,  1.00,  0.00,  0.00,  0.00
34, 19, -0.05243,  0.07865,  0.02099, -0.52622,  0.42297,  0.73757,  1.00,  1.00,  0.00,  0.00,  0.00
35, 16, -0.05332,  0.0794,  0.01984,  0.33035,  0.12628,  0.93532, -1.00,  1.00,  0.00,  0.00,  0.00
36, 20, -0.05129,  0.07747,  0.02172, -0.63183, -0.77017, -0.08619,  1.00,  1.00,  0.00,  0.00,  0.00
37, 19, -0.05243,  0.07865,  0.02099, -0.52622,  0.42297,  0.73757,  1.00,  1.00,  0.00,  0.00,  0.00
38, 17, -0.05305,  0.07877,  0.01977, -0.63716, -0.76841,  0.05733, -1.00,  1.00,  0.00,  0.00,  0.00
39, 20, -0.05129,  0.07747,  0.02172, -0.63183, -0.77017, -0.08619,  1.00,  1.00,  0.00,  0.00,  0.00
40, 21, -0.05151,  0.07786,  0.02225, -0.68818,  0.47192,  0.55084,  1.00,  1.00,  0.00,  0.00,  0.00
41, 19, -0.05243,  0.07865,  0.02099, -0.52622,  0.42297,  0.73757,  1.00,  1.00,  0.00,  0.00,  0.00
42, 22, -0.05079,  0.07662,  0.02375, -0.67991, -0.7067, -0.19524, -1.00,  1.00,  0.00,  0.00,  0.00
43, 21, -0.05151,  0.07786,  0.02225, -0.68818,  0.47192,  0.55084,  1.00,  1.00,  0.00,  0.00,  0.00
44, 20, -0.05129,  0.07747,  0.02172, -0.63183, -0.77017, -0.08619,  1.00,  1.00,  0.00,  0.00,  0.00
45, 22, -0.05079,  0.07662,  0.02375, -0.67991, -0.7067, -0.19524, -1.00,  1.00,  0.00,  0.00,  0.00
46, 23, -0.05106,  0.07709,  0.02422, -0.80518,  0.55209,  0.21568, -1.00,  1.00,  0.00,  0.00,  0.00
47, 21, -0.05151,  0.07786,  0.02225, -0.68818,  0.47192,  0.55084,  1.00,  1.00,  0.00,  0.00,  0.00
48, 23, -0.05106,  0.07709,  0.02422, -0.80518,  0.55209,  0.21568, -1.00,  1.00,  0.00,  0.00,  0.00
49, 22, -0.05079,  0.07662,  0.02375, -0.67991, -0.7067, -0.19524, -1.00,  1.00,  0.00,  0.00,  0.00
50, 24, -0.05073,  0.07554,  0.02739, -0.75683, -0.61818, -0.2119, -1.00,  1.00,  0.00,  0.00,  0.00
51, 25, -0.05518,  0.07951, -0.02125,  0.64473,  0.47729, -0.59679, -1.00,  1.00,  0.00,  0.00,  0.00
52, 26, -0.05515,  0.07928, -0.02137,  0.72515, -0.13865, -0.67428,  1.00,  1.00,  0.00,  0.00,  0.00
53, 27, -0.05625,  0.07909, -0.0232,  0.80901,  0.02072, -0.58708,  1.00,  1.00,  0.00,  0.00,  0.00
54, 28, -0.01934,  0.01935, -0.05113,  0.49656,  0.0961, -0.86267,  1.00,  1.00,  0.00,  0.00,  0.50196
55, 29, -0.01484,  0.01769, -0.04762,  0.87995, -0.37216, -0.29527,  1.00,  1.00,  0.00,  0.00,  0.00
56, 30, -0.01755,  0.01707, -0.049,  0.92171, -0.32912, -0.20527, -1.00,  1.00,  0.00,  0.00,  0.18039
57, 31, -0.05646,  0.00683, -0.06426, -0.85714, -0.09736, -0.5058, -1.00,  0.00,  0.00,  0.00,  0.00
58, 32, -0.05851, -0.00044, -0.07028, -0.85533, -0.46547,  0.22748, -1.00,  0.00,  0.00,  0.00,  0.00
59, 33, -0.05282,  0.00038, -0.05789, -0.44566, -0.73407,  0.51237,  1.00,  0.00,  0.00,  0.00,  0.00
60, 34, -0.05646,  0.00683,  0.06426, -0.85714, -0.09737,  0.5058,  1.00,  0.00,  0.00,  0.00,  0.00
61, 35, -0.05282,  0.00038,  0.05789, -0.44567, -0.73407, -0.51237, -1.00,  0.00,  0.00,  0.00,  0.00
62, 36, -0.05851, -0.00044,  0.07028, -0.85533, -0.46548, -0.22748,  1.00,  0.00,  0.00,  0.00,  0.00
63, 37, -0.06419,  0.06813, -0.05942, -0.31335,  0.76593, -0.56139,  1.00,  1.00,  0.00,  0.00,  0.00
64, 38, -0.06204,  0.068, -0.05695,  0.57135, -0.58414, -0.57626,  1.00,  1.00,  0.00,  0.00,  0.00
65, 39, -0.06382,  0.06858, -0.05663, -0.98962, -0.13738,  0.0366,  1.00,  1.00,  0.00,  0.00,  0.00
66, 40, -0.06419,  0.06813,  0.05942, -0.31334,  0.76594,  0.56139, -1.00,  1.00,  0.00,  0.00,  0.00
67, 41, -0.06382,  0.06858,  0.05663, -0.98962, -0.13737, -0.0366, -1.00,  1.00,  0.00,  0.00,  0.00
68, 42, -0.06204,  0.068,  0.05695,  0.57134, -0.58414,  0.57626, -1.00,  1.00,  0.00,  0.00,  0.00
69, 43, -0.01755,  0.01707,  0.049,  0.92171, -0.32912,  0.20526, -1.00,  1.00,  0.00,  0.00,  0.18039
70, 44, -0.01484,  0.01769,  0.04762,  0.87995, -0.37216,  0.29527,  1.00,  1.00,  0.00,  0.00,  0.00
71, 45, -0.01934,  0.01935,  0.05113,  0.49656,  0.0961,  0.86267,  1.00,  1.00,  0.00,  0.00,  0.50196
72, 46, -0.04788,  0.07188, -0.03867,  0.09937,  0.9323, -0.34759, -1.00,  1.00,  0.00,  0.00,  0.00
73, 47, -0.04879,  0.07106, -0.04116,  0.10435,  0.92908, -0.35464, -1.00,  1.00,  0.00,  0.00,  0.00
74, 48, -0.04922,  0.07119, -0.04092,  0.10426,  0.92916, -0.35445, -1.00,  1.00,  0.00,  0.00,  0.00
75, 49, -0.04992,  0.07072, -0.04238,  0.12013,  0.91896, -0.37539, -1.00,  1.00,  0.00,  0.00,  0.00
76, 48, -0.04922,  0.07119, -0.04092,  0.10426,  0.92916, -0.35445, -1.00,  1.00,  0.00,  0.00,  0.00
77, 47, -0.04879,  0.07106, -0.04116,  0.10435,  0.92908, -0.35464, -1.00,  1.00,  0.00,  0.00,  0.00
78, 49, -0.04992,  0.07072, -0.04238,  0.12013,  0.91896, -0.37539, -1.00,  1.00,  0.00,  0.00,  0.00
79, 47, -0.04879,  0.07106, -0.04116,  0.10435,  0.92908, -0.35464, -1.00,  1.00,  0.00,  0.00,  0.00
80, 50, -0.04925,  0.07047, -0.04279,  0.11973,  0.9187, -0.37615, -1.00,  1.00,  0.00,  0.00,  0.00
81, 51, -0.05061,  0.07017, -0.04395,  0.14164,  0.90684, -0.39675,  1.00,  1.00,  0.00,  0.00,  0.00
82, 49, -0.04992,  0.07072, -0.04238,  0.12013,  0.91896, -0.37539, -1.00,  1.00,  0.00,  0.00,  0.00
83, 50, -0.04925,  0.07047, -0.04279,  0.11973,  0.9187, -0.37615, -1.00,  1.00,  0.00,  0.00,  0.00
84, 51, -0.05061,  0.07017, -0.04395,  0.14164,  0.90684, -0.39675,  1.00,  1.00,  0.00,  0.00,  0.00
85, 50, -0.04925,  0.07047, -0.04279,  0.11973,  0.9187, -0.37615, -1.00,  1.00,  0.00,  0.00,  0.00
86, 52, -0.04966,  0.06975, -0.04459,  0.14107,  0.9062, -0.39841, -1.00,  1.00,  0.00,  0.00,  0.00
87, 52, -0.04966,  0.06975, -0.04459,  0.14107,  0.9062, -0.39841, -1.00,  1.00,  0.00,  0.00,  0.00
88, 53, -0.0511,  0.06979, -0.04507,  0.16935,  0.88429, -0.43496, -1.00,  1.00,  0.00,  0.00,  0.00
89, 51, -0.05061,  0.07017, -0.04395,  0.14164,  0.90684, -0.39675,  1.00,  1.00,  0.00,  0.00,  0.00
90, 52, -0.04966,  0.06975, -0.04459,  0.14107,  0.9062, -0.39841, -1.00,  1.00,  0.00,  0.00,  0.00
91, 54, -0.05007,  0.0688, -0.04681,  0.19085,  0.88526, -0.42395, -1.00,  1.00,  0.00,  0.00,  0.00
92, 53, -0.0511,  0.06979, -0.04507,  0.16935,  0.88429, -0.43496, -1.00,  1.00,  0.00,  0.00,  0.00
93, 55, -0.05251,  0.06895, -0.04782,  0.34973,  0.8026, -0.48311,  1.00,  1.00,  0.00,  0.00,  0.00
94, 53, -0.0511,  0.06979, -0.04507,  0.16935,  0.88429, -0.43496, -1.00,  1.00,  0.00,  0.00,  0.00
95, 54, -0.05007,  0.0688, -0.04681,  0.19085,  0.88526, -0.42395, -1.00,  1.00,  0.00,  0.00,  0.00
96, 55, -0.05251,  0.06895, -0.04782,  0.34973,  0.8026, -0.48311,  1.00,  1.00,  0.00,  0.00,  0.00
97, 54, -0.05007,  0.0688, -0.04681,  0.19085,  0.88526, -0.42395, -1.00,  1.00,  0.00,  0.00,  0.00
98, 56, -0.05041,  0.06748, -0.04928,  0.21456,  0.84605, -0.48787,  1.00,  1.00,  0.00,  0.00,  0.00
99, 55, -0.05251,  0.06895, -0.04782,  0.34973,  0.8026, -0.48311,  1.00,  1.00,  0.00,  0.00,  0.00
100, 56, -0.05041,  0.06748, -0.04928,  0.21456,  0.84605, -0.48787,  1.00,  1.00,  0.00,  0.00,  0.00
101, 57, -0.05052,  0.06707, -0.04996,  0.23001,  0.83008, -0.50786, -1.00,  1.00,  0.00,  0.00,  0.00
102, 57, -0.05052,  0.06707, -0.04996,  0.23001,  0.83008, -0.50786, -1.00,  1.00,  0.00,  0.00,  0.00
103, 58, -0.05353,  0.06831, -0.04944,  0.3744,  0.7803, -0.50084,  1.00,  1.00,  0.00,  0.00,  0.00
104, 55, -0.05251,  0.06895, -0.04782,  0.34973,  0.8026, -0.48311,  1.00,  1.00,  0.00,  0.00,  0.00
105, 57, -0.05052,  0.06707, -0.04996,  0.23001,  0.83008, -0.50786, -1.00,  1.00,  0.00,  0.00,  0.00
106, 59, -0.05163,  0.06662, -0.05141,  0.27851,  0.84009, -0.46535, -1.00,  1.00,  0.00,  0.00,  0.00
107, 58, -0.05353,  0.06831, -0.04944,  0.3744,  0.7803, -0.50084,  1.00,  1.00,  0.00,  0.00,  0.00
108, 58, -0.05353,  0.06831, -0.04944,  0.3744,  0.7803, -0.50084,  1.00,  1.00,  0.00,  0.00,  0.00
109, 59, -0.05163,  0.06662, -0.05141,  0.27851,  0.84009, -0.46535, -1.00,  1.00,  0.00,  0.00,  0.00
110, 60, -0.05329,  0.06632, -0.05294,  0.28987,  0.83583, -0.46609,  1.00,  1.00,  0.00,  0.00,  0.00
111, 58, -0.05353,  0.06831, -0.04944,  0.3744,  0.7803, -0.50084,  1.00,  1.00,  0.00,  0.00,  0.00
112, 60, -0.05329,  0.06632, -0.05294,  0.28987,  0.83583, -0.46609,  1.00,  1.00,  0.00,  0.00,  0.00
113, 61, -0.05532,  0.06799, -0.0513,  0.36048,  0.78242, -0.50765,  1.00,  1.00,  0.00,  0.00,  0.00
114, 60, -0.05329,  0.06632, -0.05294,  0.28987,  0.83583, -0.46609,  1.00,  1.00,  0.00,  0.00,  0.00
115, 62, -0.05495,  0.06611, -0.05424,  0.29969,  0.8178, -0.49122, -1.00,  1.00,  0.00,  0.00,  0.00
116, 61, -0.05532,  0.06799, -0.0513,  0.36048,  0.78242, -0.50765,  1.00,  1.00,  0.00,  0.00,  0.00
117, 61, -0.05532,  0.06799, -0.0513,  0.36048,  0.78242, -0.50765,  1.00,  1.00,  0.00,  0.00,  0.00
118, 62, -0.05495,  0.06611, -0.05424,  0.29969,  0.8178, -0.49122, -1.00,  1.00,  0.00,  0.00,  0.00
119, 63, -0.05783,  0.06785, -0.05327,  0.39363,  0.72372, -0.56655,  1.00,  1.00,  0.00,  0.00,  0.00
120, 63, -0.05783,  0.06785, -0.05327,  0.39363,  0.72372, -0.56655,  1.00,  1.00,  0.00,  0.00,  0.00
121, 62, -0.05495,  0.06611, -0.05424,  0.29969,  0.8178, -0.49122, -1.00,  1.00,  0.00,  0.00,  0.00
122, 64, -0.05673,  0.06576, -0.0557,  0.27685,  0.79988, -0.53243,  1.00,  1.00,  0.00,  0.00,  0.00
123, 65, -0.05864,  0.06524, -0.05735,  0.3385,  0.76336, -0.55014, -1.00,  1.00,  0.00,  0.00,  0.00
124, 63, -0.05783,  0.06785, -0.05327,  0.39363,  0.72372, -0.56655,  1.00,  1.00,  0.00,  0.00,  0.00
125, 64, -0.05673,  0.06576, -0.0557,  0.27685,  0.79988, -0.53243,  1.00,  1.00,  0.00,  0.00,  0.00
126, 66, -0.06072,  0.06783, -0.05552,  0.45418,  0.6648, -0.59281,  1.00,  1.00,  0.00,  0.00,  0.00
127, 63, -0.05783,  0.06785, -0.05327,  0.39363,  0.72372, -0.56655,  1.00,  1.00,  0.00,  0.00,  0.00
128, 65, -0.05864,  0.06524, -0.05735,  0.3385,  0.76336, -0.55014, -1.00,  1.00,  0.00,  0.00,  0.00
129, 66, -0.06072,  0.06783, -0.05552,  0.45418,  0.6648, -0.59281,  1.00,  1.00,  0.00,  0.00,  0.00
130, 65, -0.05864,  0.06524, -0.05735,  0.3385,  0.76336, -0.55014, -1.00,  1.00,  0.00,  0.00,  0.00
131, 67, -0.06029,  0.06477, -0.05894,  0.32336,  0.76841, -0.55224, -1.00,  1.00,  0.00,  0.00,  0.00
132, 67, -0.06029,  0.06477, -0.05894,  0.32336,  0.76841, -0.55224, -1.00,  1.00,  0.00,  0.00,  0.00
133, 68, -0.06167,  0.06694, -0.05679,  0.27642,  0.76603, -0.58014,  1.00,  1.00,  0.00,  0.00,  0.00
134, 66, -0.06072,  0.06783, -0.05552,  0.45418,  0.6648, -0.59281,  1.00,  1.00,  0.00,  0.00,  0.00
135, 67, -0.06029,  0.06477, -0.05894,  0.32336,  0.76841, -0.55224, -1.00,  1.00,  0.00,  0.00,  0.00
136, 69, -0.06205,  0.06618, -0.0581,  0.38183,  0.78288, -0.49105, -1.00,  1.00,  0.00,  0.00,  0.00
137, 68, -0.06167,  0.06694, -0.05679,  0.27642,  0.76603, -0.58014,  1.00,  1.00,  0.00,  0.00,  0.00
138, 70, -0.06135,  0.06458, -0.06009,  0.38929,  0.79019, -0.47334,  1.00,  1.00,  0.00,  0.00,  0.00
139, 69, -0.06205,  0.06618, -0.0581,  0.38183,  0.78288, -0.49105, -1.00,  1.00,  0.00,  0.00,  0.00
140, 67, -0.06029,  0.06477, -0.05894,  0.32336,  0.76841, -0.55224, -1.00,  1.00,  0.00,  0.00,  0.00
141, 71, -0.06244,  0.06434, -0.06137,  0.3854,  0.79084, -0.47545, -1.00,  1.00,  0.00,  0.00,  0.00
142, 69, -0.06205,  0.06618, -0.0581,  0.38183,  0.78288, -0.49105, -1.00,  1.00,  0.00,  0.00,  0.00
143, 70, -0.06135,  0.06458, -0.06009,  0.38929,  0.79019, -0.47334,  1.00,  1.00,  0.00,  0.00,  0.00
144, 72, -0.04788,  0.07188,  0.03867,  0.09933,  0.93237,  0.34741, -1.00,  1.00,  0.00,  0.00,  0.00
145, 73, -0.04922,  0.07119,  0.04092,  0.10424,  0.92919,  0.35437,  1.00,  1.00,  0.00,  0.00,  0.00
146, 74, -0.04879,  0.07106,  0.04116,  0.10433,  0.92912,  0.35455,  1.00,  1.00,  0.00,  0.00,  0.00
147, 75, -0.04992,  0.07072,  0.04238,  0.12014,  0.91896,  0.3754,  1.00,  1.00,  0.00,  0.00,  0.00
148, 74, -0.04879,  0.07106,  0.04116,  0.10433,  0.92912,  0.35455,  1.00,  1.00,  0.00,  0.00,  0.00
149, 73, -0.04922,  0.07119,  0.04092,  0.10424,  0.92919,  0.35437,  1.00,  1.00,  0.00,  0.00,  0.00
150, 75, -0.04992,  0.07072,  0.04238,  0.12014,  0.91896,  0.3754,  1.00,  1.00,  0.00,  0.00,  0.00
151, 76, -0.04925,  0.07047,  0.04279,  0.11973,  0.9187,  0.37616,  1.00,  1.00,  0.00,  0.00,  0.00
152, 74, -0.04879,  0.07106,  0.04116,  0.10433,  0.92912,  0.35455,  1.00,  1.00,  0.00,  0.00,  0.00
153, 77, -0.05061,  0.07017,  0.04395,  0.13109,  0.91483,  0.38175,  1.00,  1.00,  0.00,  0.00,  0.00
154, 76, -0.04925,  0.07047,  0.04279,  0.11973,  0.9187,  0.37616,  1.00,  1.00,  0.00,  0.00,  0.00
155, 75, -0.04992,  0.07072,  0.04238,  0.12014,  0.91896,  0.3754,  1.00,  1.00,  0.00,  0.00,  0.00
156, 77, -0.05061,  0.07017,  0.04395,  0.13109,  0.91483,  0.38175,  1.00,  1.00,  0.00,  0.00,  0.00
157, 78, -0.04966,  0.06975,  0.04459,  0.14107,  0.9062,  0.39843,  1.00,  1.00,  0.00,  0.00,  0.00
158, 76, -0.04925,  0.07047,  0.04279,  0.11973,  0.9187,  0.37616,  1.00,  1.00,  0.00,  0.00,  0.00
159, 78, -0.04966,  0.06975,  0.04459,  0.14107,  0.9062,  0.39843,  1.00,  1.00,  0.00,  0.00,  0.00
160, 77, -0.05061,  0.07017,  0.04395,  0.13109,  0.91483,  0.38175,  1.00,  1.00,  0.00,  0.00,  0.00
161, 79, -0.0511,  0.06979,  0.04507,  0.16932,  0.88429,  0.43498,  1.00,  1.00,  0.00,  0.00,  0.00
162, 78, -0.04966,  0.06975,  0.04459,  0.14107,  0.9062,  0.39843,  1.00,  1.00,  0.00,  0.00,  0.00
163, 79, -0.0511,  0.06979,  0.04507,  0.16932,  0.88429,  0.43498,  1.00,  1.00,  0.00,  0.00,  0.00
164, 80, -0.05007,  0.0688,  0.04681,  0.19085,  0.88525,  0.42396,  1.00,  1.00,  0.00,  0.00,  0.00
165, 81, -0.05251,  0.06895,  0.04782,  0.34971,  0.80262,  0.48309, -1.00,  1.00,  0.00,  0.00,  0.00
166, 80, -0.05007,  0.0688,  0.04681,  0.19085,  0.88525,  0.42396,  1.00,  1.00,  0.00,  0.00,  0.00
167, 79, -0.0511,  0.06979,  0.04507,  0.16932,  0.88429,  0.43498,  1.00,  1.00,  0.00,  0.00,  0.00
168, 81, -0.05251,  0.06895,  0.04782,  0.34971,  0.80262,  0.48309, -1.00,  1.00,  0.00,  0.00,  0.00
169, 82, -0.05041,  0.06748,  0.04928,  0.21456,  0.84605,  0.48787, -1.00,  1.00,  0.00,  0.00,  0.00
170, 80, -0.05007,  0.0688,  0.04681,  0.19085,  0.88525,  0.42396,  1.00,  1.00,  0.00,  0.00,  0.00
171, 81, -0.05251,  0.06895,  0.04782,  0.34971,  0.80262,  0.48309, -1.00,  1.00,  0.00,  0.00,  0.00
172, 83, -0.05052,  0.06707,  0.04996,  0.23001,  0.83008,  0.50786,  1.00,  1.00,  0.00,  0.00,  0.00
173, 82, -0.05041,  0.06748,  0.04928,  0.21456,  0.84605,  0.48787, -1.00,  1.00,  0.00,  0.00,  0.00
174, 83, -0.05052,  0.06707,  0.04996,  0.23001,  0.83008,  0.50786,  1.00,  1.00,  0.00,  0.00,  0.00
175, 81, -0.05251,  0.06895,  0.04782,  0.34971,  0.80262,  0.48309, -1.00,  1.00,  0.00,  0.00,  0.00
176, 84, -0.05353,  0.06831,  0.04944,  0.3744,  0.7803,  0.50084, -1.00,  1.00,  0.00,  0.00,  0.00
177, 83, -0.05052,  0.06707,  0.04996,  0.23001,  0.83008,  0.50786,  1.00,  1.00,  0.00,  0.00,  0.00
178, 84, -0.05353,  0.06831,  0.04944,  0.3744,  0.7803,  0.50084, -1.00,  1.00,  0.00,  0.00,  0.00
179, 85, -0.05163,  0.06662,  0.05141,  0.27851,  0.84008,  0.46536,  1.00,  1.00,  0.00,  0.00,  0.00
180, 84, -0.05353,  0.06831,  0.04944,  0.3744,  0.7803,  0.50084, -1.00,  1.00,  0.00,  0.00,  0.00
181, 86, -0.05329,  0.06632,  0.05294,  0.28988,  0.83582,  0.4661, -1.00,  1.00,  0.00,  0.00,  0.00
182, 85, -0.05163,  0.06662,  0.05141,  0.27851,  0.84008,  0.46536,  1.00,  1.00,  0.00,  0.00,  0.00
183, 84, -0.05353,  0.06831,  0.04944,  0.3744,  0.7803,  0.50084, -1.00,  1.00,  0.00,  0.00,  0.00
184, 87, -0.05532,  0.06799,  0.0513,  0.36048,  0.78241,  0.50766, -1.00,  1.00,  0.00,  0.00,  0.00
185, 86, -0.05329,  0.06632,  0.05294,  0.28988,  0.83582,  0.4661, -1.00,  1.00,  0.00,  0.00,  0.00
186, 86, -0.05329,  0.06632,  0.05294,  0.28988,  0.83582,  0.4661, -1.00,  1.00,  0.00,  0.00,  0.00
187, 87, -0.05532,  0.06799,  0.0513,  0.36048,  0.78241,  0.50766, -1.00,  1.00,  0.00,  0.00,  0.00
188, 88, -0.05495,  0.06611,  0.05424,  0.29969,  0.8178,  0.49122,  1.00,  1.00,  0.00,  0.00,  0.00
189, 87, -0.05532,  0.06799,  0.0513,  0.36048,  0.78241,  0.50766, -1.00,  1.00,  0.00,  0.00,  0.00
190, 89, -0.05783,  0.06785,  0.05327,  0.39363,  0.72371,  0.56656, -1.00,  1.00,  0.00,  0.00,  0.00
191, 88, -0.05495,  0.06611,  0.05424,  0.29969,  0.8178,  0.49122,  1.00,  1.00,  0.00,  0.00,  0.00
192, 89, -0.05783,  0.06785,  0.05327,  0.39363,  0.72371,  0.56656, -1.00,  1.00,  0.00,  0.00,  0.00
193, 90, -0.05673,  0.06576,  0.0557,  0.27686,  0.79987,  0.53244, -1.00,  1.00,  0.00,  0.00,  0.00
194, 88, -0.05495,  0.06611,  0.05424,  0.29969,  0.8178,  0.49122,  1.00,  1.00,  0.00,  0.00,  0.00
195, 91, -0.05864,  0.06524,  0.05735,  0.33851,  0.76335,  0.55015,  1.00,  1.00,  0.00,  0.00,  0.00
196, 90, -0.05673,  0.06576,  0.0557,  0.27686,  0.79987,  0.53244, -1.00,  1.00,  0.00,  0.00,  0.00
197, 89, -0.05783,  0.06785,  0.05327,  0.39363,  0.72371,  0.56656, -1.00,  1.00,  0.00,  0.00,  0.00
198, 92, -0.06072,  0.06783,  0.05552,  0.46106,  0.6611,  0.59164, -1.00,  1.00,  0.00,  0.00,  0.00
199, 91, -0.05864,  0.06524,  0.05735,  0.33851,  0.76335,  0.55015,  1.00,  1.00,  0.00,  0.00,  0.00
200, 89, -0.05783,  0.06785,  0.05327,  0.39363,  0.72371,  0.56656, -1.00,  1.00,  0.00,  0.00,  0.00
201, 92, -0.06072,  0.06783,  0.05552,  0.46106,  0.6611,  0.59164, -1.00,  1.00,  0.00,  0.00,  0.00
202, 93, -0.06029,  0.06477,  0.05894,  0.32337,  0.7684,  0.55224,  1.00,  1.00,  0.00,  0.00,  0.00
203, 91, -0.05864,  0.06524,  0.05735,  0.33851,  0.76335,  0.55015,  1.00,  1.00,  0.00,  0.00,  0.00
204, 93, -0.06029,  0.06477,  0.05894,  0.32337,  0.7684,  0.55224,  1.00,  1.00,  0.00,  0.00,  0.00
205, 92, -0.06072,  0.06783,  0.05552,  0.46106,  0.6611,  0.59164, -1.00,  1.00,  0.00,  0.00,  0.00
206, 94, -0.06166,  0.06694,  0.05679,  0.27641,  0.76604,  0.58013, -1.00,  1.00,  0.00,  0.00,  0.00
207, 93, -0.06029,  0.06477,  0.05894,  0.32337,  0.7684,  0.55224,  1.00,  1.00,  0.00,  0.00,  0.00
