VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input2.z, _input2.w, _input3.x, _input3.y, _input4.x, _input4.y
16, 12904,  0.55963, -0.20805, -0.04189, -0.11784, -0.95147, -0.25563,  1.00,  0.50196,  0.50196,  0.50196,  0.80864,  0.08483,  0.56204,  0.0664
17, 12902,  0.56158, -0.21645, -0.0122, -0.10105, -0.9553, -0.22323,  1.00,  0.50196,  0.50196,  0.50196,  0.80794,  0.06507,  0.56051,  0.06675
18, 12903,  0.51011, -0.20129, -0.04157, -0.1209, -0.95961, -0.23244,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483,  0.56222,  0.06983
19, 12905,  0.51343, -0.21612,  0.00698, -0.11961, -0.96003, -0.2281,  1.00,  0.50196,  0.50196,  0.50196,  0.82226,  0.05187,  0.55965,  0.07086
20, 12906,  0.44601, -0.20445,  0.0062, -0.12707, -0.95712, -0.26032,  1.00,  0.50196,  0.50196,  0.50196,  0.84219,  0.05187,  0.55977,  0.07683
21, 12903,  0.51011, -0.20129, -0.04157, -0.1209, -0.95961, -0.23244,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483,  0.56222,  0.06983
22, 12906,  0.44601, -0.20445,  0.0062, -0.12707, -0.95712, -0.26032,  1.00,  0.50196,  0.50196,  0.50196,  0.84219,  0.05187,  0.55977,  0.07683
23, 12907,  0.44447, -0.19431, -0.04038, -0.12784, -0.95706, -0.26016,  1.00,  0.50196,  0.50196,  0.00,  0.84322,  0.08483,  0.56201,  0.07604
24, 12908,  0.63793, -0.23058, -0.01842,  0.02949,  0.43729, -0.88986,  1.00,  0.50196,  0.50196,  0.00,  0.75846,  0.06095,  0.56086,  0.05981
25, 12909,  0.69119, -0.22939, -0.01675,  0.01993,  0.3997, -0.91643,  1.00,  0.50196,  0.50196,  0.50196,  0.7617,  0.05411,  0.56149,  0.05501
26, 12910,  0.69049, -0.23982, -0.02131,  0.01993,  0.3997, -0.91643,  1.00,  0.50196,  0.50196,  0.00,  0.76039,  0.05356,  0.56109,  0.05497
27, 12911,  0.15091, -0.14688,  0.00472, -0.19452, -0.97919, -0.05783,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772,  0.56062,  0.10378
28, 12912,  0.09264, -0.13547,  0.01181, -0.19759, -0.97885, -0.05292,  1.00,  0.50196,  0.50196,  0.50196,  0.94811,  0.05187,  0.56054,  0.10865
29, 12913,  0.09098, -0.13339, -0.02049, -0.19761, -0.97885, -0.0529,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483,  0.56217,  0.10855
30, 12914,  0.15091, -0.14688,  0.00472, -0.16857, -0.98032, -0.10269,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772,  0.56062,  0.10378
31, 12915,  0.15126, -0.14757,  0.0108, -0.19842, -0.97516, -0.09838,  1.00,  0.50196,  0.50196,  0.50196,  0.93057,  0.05187,  0.56039,  0.10332
32, 12912,  0.09264, -0.13547,  0.01181, -0.19759, -0.97885, -0.05292,  1.00,  0.50196,  0.50196,  0.50196,  0.94811,  0.05187,  0.56054,  0.10865
33, 12916,  0.14912, -0.14337, -0.02501, -0.17457, -0.979, -0.10521,  1.00,  0.50196,  0.50196,  0.50196,  0.93065,  0.08483,  0.5622,  0.10321
34, 12914,  0.15091, -0.14688,  0.00472, -0.16857, -0.98032, -0.10269,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772,  0.56062,  0.10378
35, 12917,  0.09098, -0.13339, -0.02049, -0.17559, -0.98299, -0.05379,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483,  0.56217,  0.10855
36, 12918,  0.14912, -0.14337, -0.02501, -0.16824, -0.98032, -0.10323,  1.00,  0.50196,  0.50196,  0.50196,  0.93065,  0.08483,  0.5622,  0.10321
37, 12919,  0.23076, -0.16023, -0.0032, -0.1825, -0.97856, -0.09282,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661,  0.5609,  0.09636
38, 12914,  0.15091, -0.14688,  0.00472, -0.16857, -0.98032, -0.10269,  1.00,  0.50196,  0.50196,  0.00,  0.93058,  0.05772,  0.56062,  0.10378
39, 12918,  0.14912, -0.14337, -0.02501, -0.16824, -0.98032, -0.10323,  1.00,  0.50196,  0.50196,  0.50196,  0.93065,  0.08483,  0.5622,  0.10321
40, 12920,  0.22945, -0.157, -0.03065, -0.16157, -0.98116, -0.10414,  1.00,  0.50196,  0.50196,  0.50196,  0.9066,  0.08483,  0.56219,  0.09582
41, 12919,  0.23076, -0.16023, -0.0032, -0.1825, -0.97856, -0.09282,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661,  0.5609,  0.09636
42, 12919,  0.23076, -0.16023, -0.0032, -0.1825, -0.97856, -0.09282,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661,  0.5609,  0.09636
43, 12921,  0.22945, -0.157, -0.03065, -0.18505, -0.97815, -0.09278,  1.00,  0.50196,  0.50196,  0.50196,  0.9066,  0.08483,  0.56219,  0.09582
44, 12922,  0.314, -0.17154, -0.03557, -0.13113, -0.98665, -0.09511,  1.00,  0.50196,  0.50196,  0.50196,  0.88125,  0.08483,  0.56217,  0.08812
45, 12919,  0.23076, -0.16023, -0.0032, -0.1825, -0.97856, -0.09282,  1.00,  0.50196,  0.50196,  0.50196,  0.90634,  0.0661,  0.5609,  0.09636
46, 12922,  0.314, -0.17154, -0.03557, -0.13113, -0.98665, -0.09511,  1.00,  0.50196,  0.50196,  0.50196,  0.88125,  0.08483,  0.56217,  0.08812
47, 12923,  0.31455, -0.17342, -0.01556, -0.15183, -0.9838, -0.09291,  1.00,  0.50196,  0.50196,  0.50196,  0.88101,  0.07328,  0.56132,  0.08831
48, 12923,  0.31455, -0.17342, -0.01556, -0.15183, -0.9838, -0.09291,  1.00,  0.50196,  0.50196,  0.50196,  0.88101,  0.07328,  0.56132,  0.08831
49, 12924,  0.314, -0.17154, -0.03557, -0.14845, -0.98439, -0.09308,  1.00,  0.50196,  0.50196,  0.50196,  0.88125,  0.08483,  0.56217,  0.08812
50, 12925,  0.37973, -0.18071, -0.03868, -0.14625, -0.98322, -0.10877,  1.00,  0.50196,  0.50196,  0.50196,  0.86183,  0.08483,  0.56217,  0.08222
51, 12923,  0.31455, -0.17342, -0.01556, -0.15183, -0.9838, -0.09291,  1.00,  0.50196,  0.50196,  0.50196,  0.88101,  0.07328,  0.56132,  0.08831
52, 12925,  0.37973, -0.18071, -0.03868, -0.14625, -0.98322, -0.10877,  1.00,  0.50196,  0.50196,  0.50196,  0.86183,  0.08483,  0.56217,  0.08222
53, 12926,  0.38005, -0.18203, -0.02779, -0.14671, -0.98313, -0.10879,  1.00,  0.50196,  0.50196,  0.50196,  0.86169,  0.07961,  0.5617,  0.0821
54, 12926,  0.38005, -0.18203, -0.02779, -0.14671, -0.98313, -0.10879,  1.00,  0.50196,  0.50196,  0.50196,  0.86169,  0.07961,  0.5617,  0.0821
55, 12925,  0.37973, -0.18071, -0.03868, -0.14625, -0.98322, -0.10877,  1.00,  0.50196,  0.50196,  0.50196,  0.86183,  0.08483,  0.56217,  0.08222
56, 12927,  0.44014, -0.1895, -0.03932, -0.14266, -0.98365, -0.10987,  1.00,  0.50196,  0.50196,  0.50196,  0.85127,  0.08483,  0.56205,  0.07674
57, 12917,  0.09098, -0.13339, -0.02049, -0.17559, -0.98299, -0.05379,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483,  0.56217,  0.10855
58, 12928,  0.09264, -0.13547,  0.01181, -0.17558, -0.98299, -0.05381,  1.00,  0.50196,  0.50196,  0.50196,  0.94811,  0.05187,  0.56054,  0.10865
59, 12929,  0.02736, -0.12347,  0.0074, -0.17621, -0.98294, -0.0528,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535,  0.56098,  0.11457
60, 12917,  0.09098, -0.13339, -0.02049, -0.17559, -0.98299, -0.05379,  1.00,  0.50196,  0.50196,  0.50196,  0.94807,  0.08483,  0.56217,  0.10855
61, 12929,  0.02736, -0.12347,  0.0074, -0.17621, -0.98294, -0.0528,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535,  0.56098,  0.11457
62, 12930,  0.02632, -0.12231, -0.01097, -0.17621, -0.98294, -0.0528,  1.00,  0.50196,  0.50196,  0.50196,  0.97588,  0.0798,  0.56191,  0.11453
63, 12931,  0.01661, -0.12036, -0.00842, -0.18245, -0.97945, -0.08599,  1.00,  0.50196,  0.50196,  0.50196,  0.98004,  0.0779,  0.56182,  0.11543
64, 12930,  0.02632, -0.12231, -0.01097, -0.17621, -0.98294, -0.0528,  1.00,  0.50196,  0.50196,  0.50196,  0.97588,  0.0798,  0.56191,  0.11453
65, 12929,  0.02736, -0.12347,  0.0074, -0.17621, -0.98294, -0.0528,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535,  0.56098,  0.11457
66, 12931,  0.01661, -0.12036, -0.00842, -0.18245, -0.97945, -0.08599,  1.00,  0.50196,  0.50196,  0.50196,  0.98004,  0.0779,  0.56182,  0.11543
67, 12929,  0.02736, -0.12347,  0.0074, -0.17621, -0.98294, -0.0528,  1.00,  0.50196,  0.50196,  0.50196,  0.97608,  0.05535,  0.56098,  0.11457
68, 12932,  0.01759, -0.12185,  0.00566, -0.18241, -0.97957, -0.08465,  1.00,  0.50196,  0.50196,  0.50196,  0.98026,  0.05905,  0.5611,  0.11546
69, 12933,  0.00796, -0.11863, -0.00615, -0.1833, -0.97491, -0.12629,  1.00,  0.50196,  0.50196,  0.50196,  0.98375,  0.07621,  0.56173,  0.11623
70, 12931,  0.01661, -0.12036, -0.00842, -0.18245, -0.97945, -0.08599,  1.00,  0.50196,  0.50196,  0.50196,  0.98004,  0.0779,  0.56182,  0.11543
71, 12932,  0.01759, -0.12185,  0.00566, -0.18241, -0.97957, -0.08465,  1.00,  0.50196,  0.50196,  0.50196,  0.98026,  0.05905,  0.5611,  0.11546
72, 12933,  0.00796, -0.11863, -0.00615, -0.1833, -0.97491, -0.12629,  1.00,  0.50196,  0.50196,  0.50196,  0.98375,  0.07621,  0.56173,  0.11623
73, 12932,  0.01759, -0.12185,  0.00566, -0.18241, -0.97957, -0.08465,  1.00,  0.50196,  0.50196,  0.50196,  0.98026,  0.05905,  0.5611,  0.11546
74, 12934,  0.00887, -0.12042,  0.00411, -0.18327, -0.97509, -0.12491,  1.00,  0.50196,  0.50196,  0.50196,  0.98399,  0.06236,  0.56121,  0.11625
75, 12935,  0.00522, -0.11808, -0.00543, -0.18384, -0.96863, -0.16723,  1.00,  0.50196,  0.50196,  0.50196,  0.98493,  0.07567,  0.5617,  0.11648
76, 12933,  0.00796, -0.11863, -0.00615, -0.1833, -0.97491, -0.12629,  1.00,  0.50196,  0.50196,  0.50196,  0.98375,  0.07621,  0.56173,  0.11623
77, 12934,  0.00887, -0.12042,  0.00411, -0.18327, -0.97509, -0.12491,  1.00,  0.50196,  0.50196,  0.50196,  0.98399,  0.06236,  0.56121,  0.11625
78, 12935,  0.00522, -0.11808, -0.00543, -0.18384, -0.96863, -0.16723,  1.00,  0.50196,  0.50196,  0.50196,  0.98493,  0.07567,  0.5617,  0.11648
79, 12934,  0.00887, -0.12042,  0.00411, -0.18327, -0.97509, -0.12491,  1.00,  0.50196,  0.50196,  0.50196,  0.98399,  0.06236,  0.56121,  0.11625
80, 12936,  0.00611, -0.11996,  0.00362, -0.18384, -0.96863, -0.16723,  1.00,  0.50196,  0.50196,  0.50196,  0.98517,  0.0634,  0.56125,  0.1165
81, 12937,  0.68961, -0.22797, -0.04475, -0.08574, -0.99567, -0.03601,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483,  0.56277,  0.0551
82, 12938,  0.71395, -0.23164, -0.01482, -0.09422, -0.99452, -0.0453,  1.00,  0.50196,  0.50196,  0.00,  0.76375,  0.06975,  0.56158,  0.05291
83, 12939,  0.69119, -0.22939, -0.01675, -0.09422, -0.99452, -0.0453,  1.00,  0.50196,  0.50196,  0.50196,  0.7701,  0.07029,  0.56149,  0.05501
84, 12940,  0.63592, -0.22476, -0.01785, -0.09515, -0.98317, -0.08374,  1.00,  0.50196,  0.50196,  0.03529,  0.78593,  0.07088,  0.56115,  0.0601
85, 12941,  0.63267, -0.22277, -0.04407, -0.09219, -0.9871, -0.06873,  1.00,  0.50196,  0.50196,  0.50196,  0.78685,  0.08483,  0.56242,  0.06008
86, 12937,  0.68961, -0.22797, -0.04475, -0.08574, -0.99567, -0.03601,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483,  0.56277,  0.0551
87, 12940,  0.63592, -0.22476, -0.01785, -0.09515, -0.98317, -0.08374,  1.00,  0.50196,  0.50196,  0.03529,  0.78593,  0.07088,  0.56115,  0.0601
88, 12937,  0.68961, -0.22797, -0.04475, -0.08574, -0.99567, -0.03601,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483,  0.56277,  0.0551
89, 12942,  0.69119, -0.22939, -0.01675, -0.08574, -0.99567, -0.03601,  1.00,  0.50196,  0.50196,  0.50196,  0.7701,  0.07029,  0.56149,  0.05501
90, 12943,  0.68961, -0.22797, -0.04475, -0.06752, -0.99765, -0.012,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483,  0.56277,  0.0551
91, 12944,  0.75127, -0.23213, -0.04547, -0.06752, -0.99765, -0.012,  1.00,  0.50196,  0.50196,  0.50196,  0.75324,  0.08483,  0.56315,  0.04969
92, 12945,  0.73382, -0.23117, -0.02733, -0.06752, -0.99765, -0.012,  1.00,  0.50196,  0.50196,  0.50196,  0.75837,  0.07684,  0.5622,  0.05131
93, 12946,  0.68961, -0.22797, -0.04475, -0.0353, -0.99501, -0.09328,  1.00,  0.50196,  0.50196,  0.50196,  0.77043,  0.08483,  0.56277,  0.0551
94, 12947,  0.73382, -0.23117, -0.02733, -0.0353, -0.99501, -0.09328,  1.00,  0.50196,  0.50196,  0.50196,  0.75837,  0.07684,  0.5622,  0.05131
95, 12948,  0.71395, -0.23164, -0.01482, -0.0353, -0.99501, -0.09328,  1.00,  0.50196,  0.50196,  0.00,  0.76375,  0.06975,  0.56158,  0.05291
96, 12949,  0.63793, -0.23058, -0.01842, -0.05006,  0.07782, -0.98755,  1.00,  0.50196,  0.50196,  0.00,  0.75846,  0.06095,  0.56086,  0.05981
97, 12950,  0.56158, -0.21645, -0.0122, -0.01388,  0.3233, -0.93197,  1.00,  0.50196,  0.50196,  0.50196,  0.75426,  0.07131,  0.56051,  0.06675
98, 12951,  0.63592, -0.22476, -0.01785, -0.04972,  0.08015, -0.98702,  1.00,  0.50196,  0.50196,  0.03529,  0.75904,  0.06159,  0.56115,  0.0601
99, 12952,  0.63793, -0.23058, -0.01842,  0.03434,  0.10608, -0.98585,  1.00,  0.50196,  0.50196,  0.00,  0.75846,  0.06095,  0.56086,  0.05981
100, 12953,  0.63592, -0.22476, -0.01785,  0.03469,  0.10834, -0.98524,  1.00,  0.50196,  0.50196,  0.03529,  0.75904,  0.06159,  0.56115,  0.0601
101, 12954,  0.69119, -0.22939, -0.01675,  0.02739,  0.06172, -0.99772,  1.00,  0.50196,  0.50196,  0.50196,  0.7617,  0.05411,  0.56149,  0.05501
102, 12955,  0.51343, -0.21612,  0.00698, -0.16911, -0.8845, -0.42077,  1.00,  0.50196,  0.50196,  0.50196,  0.82226,  0.05187,  0.55965,  0.07086
103, 12956,  0.56158, -0.21645, -0.0122, -0.15863, -0.90122, -0.36776,  1.00,  0.50196,  0.50196,  0.50196,  0.80794,  0.06507,  0.56051,  0.06675
104, 12957,  0.56438, -0.22612,  0.00809, -0.16671, -0.888, -0.40979,  1.00,  0.50196,  0.50196,  0.50196,  0.80748,  0.05187,  0.55954,  0.0664
105, 12958,  0.23076, -0.16023, -0.0032,  0.02053,  0.61691, -0.78674,  1.00,  0.50196,  0.50196,  0.50196,  0.76223,  0.05719,  0.5609,  0.09636
106, 12959,  0.23157, -0.16414, -0.00625,  0.0206,  0.61692, -0.78673,  1.00,  0.50196,  0.50196,  0.50196,  0.7618,  0.05684,  0.56088,  0.09627
107, 12960,  0.15091, -0.14688,  0.00472,  0.02377,  0.61594, -0.78743,  1.00,  0.50196,  0.50196,  0.00,  0.76406,  0.0523,  0.56062,  0.10378
108, 12961,  0.44014, -0.1895, -0.03932,  0.00138,  0.21574, -0.97641,  0.00,  0.00,  0.00,  0.00,  0.75945,  0.05657,  0.56205,  0.07674
109, 12962,  0.51011, -0.20129, -0.04157,  0.00121,  0.18762, -0.97708,  0.00,  0.00,  0.00,  0.00,  0.76084,  0.06205,  0.56222,  0.06983
110, 12963,  0.44447, -0.19431, -0.04038,  0.00158,  0.21573, -0.97642,  0.00,  0.00,  0.00,  0.00,  0.76439,  0.05764,  0.56201,  0.07604
111, 12964,  0.00611, -0.11996,  0.00362, -0.17107, -0.97675, -0.12922,  0.00,  0.00,  0.00,  0.00,  0.71007,  0.51809,  0.71007,  0.51809
112, 12965,  0.00587, -0.12019,  0.00563, -0.17107, -0.97675, -0.12922,  0.00,  0.00,  0.00,  0.00,  0.71007,  0.52463,  0.71007,  0.52463
113, 12966, -0.01631, -0.11597,  0.00312, -0.17107, -0.97675, -0.12922,  0.00,  0.00,  0.00,  0.00,  0.71661,  0.51809,  0.71661,  0.51809
114, 12967, -0.01758, -0.11501, -0.00265, -0.14847, -0.97963, -0.13521,  0.00,  0.00,  0.00,  0.00,  0.71007,  0.51809,  0.71007,  0.51809
115, 12968,  0.00489, -0.11775, -0.00742, -0.14847, -0.97963, -0.13521,  0.00,  0.00,  0.00,  0.00,  0.71661,  0.52463,  0.71661,  0.52463
116, 12969,  0.00522, -0.11808, -0.00543, -0.14847, -0.97963, -0.13521,  0.00,  0.00,  0.00,  0.00,  0.71661,  0.51809,  0.71661,  0.51809
117, 12970, -0.69855, -0.05989,  0.0769, -0.37248,  0.30241,  0.87739,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682,  0.09001,  0.3785
118, 12971, -0.70272, -0.05843,  0.07522, -0.26516,  0.29554,  0.9178,  1.00,  0.50196,  0.50196,  0.30196,  0.20705,  0.21963,  0.08958,  0.37864
119, 12972, -0.69967, -0.06249,  0.07741, -0.31841,  0.314,  0.89444,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986,  0.08991,  0.37887
120, 12970, -0.69855, -0.05989,  0.0769, -0.37248,  0.30241,  0.87739,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682,  0.09001,  0.3785
121, 12973, -0.69967, -0.06249,  0.07741, -0.31841,  0.314,  0.89444,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986,  0.08991,  0.37887
122, 12974, -0.69746, -0.06559,  0.07944, -0.38166,  0.22372,  0.89682,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199,  0.09018,  0.37903
123, 12975, -0.69121, -0.06168,  0.08115, -0.3455,  0.14698,  0.92684,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104,  0.0908,  0.37815
124, 12970, -0.69855, -0.05989,  0.0769, -0.37248,  0.30241,  0.87739,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682,  0.09001,  0.3785
125, 12974, -0.69746, -0.06559,  0.07944, -0.38166,  0.22372,  0.89682,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199,  0.09018,  0.37903
126, 12975, -0.69121, -0.06168,  0.08115, -0.3455,  0.14698,  0.92684,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104,  0.0908,  0.37815
127, 12974, -0.69746, -0.06559,  0.07944, -0.38166,  0.22372,  0.89682,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199,  0.09018,  0.37903
128, 12976, -0.68637, -0.06742,  0.08331, -0.31494,  0.09024,  0.94481,  1.00,  0.50196,  0.50196,  0.30196,  0.21847,  0.21083,  0.09132,  0.37842
129, 12977, -0.6998, -0.05441, -0.06266, -0.3879,  0.37, -0.84418,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682,  0.09001,  0.3785
130, 12978, -0.70093, -0.05696, -0.06336, -0.33414,  0.38293, -0.86123,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986,  0.08991,  0.37887
131, 12979, -0.70394, -0.05308, -0.0608, -0.28132,  0.36639, -0.88691,  1.00,  0.50196,  0.50196,  0.30196,  0.20705,  0.21963,  0.08958,  0.37864
132, 12977, -0.6998, -0.05441, -0.06266, -0.3879,  0.37, -0.84418,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682,  0.09001,  0.3785
133, 12980, -0.69876, -0.05989, -0.06567, -0.39748,  0.29308, -0.86955,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199,  0.09018,  0.37903
134, 12981, -0.70093, -0.05696, -0.06336, -0.33414,  0.38293, -0.86123,  1.00,  0.50196,  0.50196,  0.30196,  0.2104,  0.21986,  0.08991,  0.37887
135, 12982, -0.69254, -0.05586, -0.06718, -0.36191,  0.21895, -0.90613,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104,  0.0908,  0.37815
136, 12980, -0.69876, -0.05989, -0.06567, -0.39748,  0.29308, -0.86955,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199,  0.09018,  0.37903
137, 12977, -0.6998, -0.05441, -0.06266, -0.3879,  0.37, -0.84418,  1.00,  0.50196,  0.50196,  0.30196,  0.20953,  0.21682,  0.09001,  0.3785
138, 12982, -0.69254, -0.05586, -0.06718, -0.36191,  0.21895, -0.90613,  1.00,  0.50196,  0.50196,  0.30196,  0.21367,  0.21104,  0.0908,  0.37815
139, 12983, -0.68774, -0.06141, -0.06987, -0.33172,  0.16381, -0.92905,  1.00,  0.50196,  0.50196,  0.30196,  0.21847,  0.21083,  0.09132,  0.37842
140, 12980, -0.69876, -0.05989, -0.06567, -0.39748,  0.29308, -0.86955,  1.00,  0.50196,  0.50196,  0.30196,  0.21294,  0.2199,  0.09018,  0.37903
141, 12984,  0.44687,  0.03537,  0.12085,  0.04086,  0.77391,  0.63182,  1.00,  0.50196,  0.50196,  0.50196,  0.74665,  0.04293,  0.74665,  0.04293
142, 12985,  0.48283,  0.0475,  0.10368,  0.0409,  0.77636,  0.62896,  1.00,  0.50196,  0.50196,  0.50196,  0.73028,  0.02406,  0.73028,  0.02382
143, 12986,  0.44769,  0.06359,  0.08624,  0.04086,  0.77389,  0.63184,  1.00,  0.50196,  0.50196,  0.50196,  0.74665,  0.00769,  0.74665,  0.00769
144, 12987,  0.39147,  0.0387,  0.1202,  0.0408,  0.77065,  0.63562,  1.00,  0.50196,  0.50196,  0.50196,  0.77145,  0.04293,  0.77227,  0.04293
145, 12984,  0.44687,  0.03537,  0.12085,  0.04086,  0.77391,  0.63182,  1.00,  0.50196,  0.50196,  0.50196,  0.74665,  0.04293,  0.74665,  0.04293
146, 12986,  0.44769,  0.06359,  0.08624,  0.04086,  0.77389,  0.63184,  1.00,  0.50196,  0.50196,  0.50196,  0.74665,  0.00769,  0.74665,  0.00769
147, 12987,  0.39147,  0.0387,  0.1202,  0.0408,  0.77065,  0.63562,  1.00,  0.50196,  0.50196,  0.50196,  0.77145,  0.04293,  0.77227,  0.04293
148, 12986,  0.44769,  0.06359,  0.08624,  0.04086,  0.77389,  0.63184,  1.00,  0.50196,  0.50196,  0.50196,  0.74665,  0.00769,  0.74665,  0.00769
149, 12988,  0.39227,  0.06503,  0.08822,  0.0408,  0.77065,  0.63562,  1.00,  0.50196,  0.50196,  0.50196,  0.77145,  0.00769,  0.77227,  0.00769
150, 12989,  0.33502,  0.0677,  0.08981,  0.0404,  0.74852,  0.661,  1.00,  0.50196,  0.50196,  0.50196,  0.79819,  0.00769,  0.7989,  0.00769
151, 12987,  0.39147,  0.0387,  0.1202,  0.0408,  0.77065,  0.63562,  1.00,  0.50196,  0.50196,  0.50196,  0.77145,  0.04293,  0.77227,  0.04293
152, 12988,  0.39227,  0.06503,  0.08822,  0.0408,  0.77065,  0.63562,  1.00,  0.50196,  0.50196,  0.50196,  0.77145,  0.00769,  0.77227,  0.00769
153, 12989,  0.33502,  0.0677,  0.08981,  0.0404,  0.74852,  0.661,  1.00,  0.50196,  0.50196,  0.50196,  0.79819,  0.00769,  0.7989,  0.00769
154, 12990,  0.33394,  0.04143,  0.11963,  0.0404,  0.74852,  0.661,  1.00,  0.50196,  0.50196,  0.50196,  0.79792,  0.04293,  0.79863,  0.04293
