VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y, _input2.z, _input2.w, _input3.x, _input3.y, _input3.z, _input3.w, _input4.x, _input4.y, _input5.x, _input5.y, _input6.x, _input6.y
18, 6,  1.32761E-06,  30.37213,  45.4551,  0.00, -0.55957, -0.82861,  0.00,  0.99658, -0.06738,  0.04553, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.1875,  0.50146,  0.70605,  0.18237,  0.40918
19, 8,  1.68972E-06,  38.65638,  38.65638,  0.00, -0.70996, -0.7041,  0.00,  0.99756, -0.04871,  0.04913, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.25,  0.50146,  0.76221,  0.18225,  0.36792
20, 7,  7.54149,  37.91361,  38.65638, -0.13855, -0.69629, -0.7041,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.25,  0.4502,  0.75732,  0.1521,  0.37085
21, 5,  5.92531,  29.78853,  45.4551, -0.10919, -0.54883, -0.82861,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.1875,  0.46118,  0.70215,  0.16028,  0.41113
22, 7,  7.54149,  37.91361,  38.65638, -0.13855, -0.69629, -0.7041,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.25,  0.4502,  0.75732,  0.1521,  0.37085
23, 9,  14.79316,  35.71384,  38.65638, -0.27173, -0.65625, -0.7041,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.25,  0.40112,  0.74219,  0.12311,  0.37964
24, 5,  5.92531,  29.78853,  45.4551, -0.10919, -0.54883, -0.82861,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.1875,  0.46118,  0.70215,  0.16028,  0.41113
25, 9,  14.79316,  35.71384,  38.65638, -0.27173, -0.65625, -0.7041,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.25,  0.40112,  0.74219,  0.12311,  0.37964
26, 10,  11.62291,  28.06019,  45.4551, -0.21423, -0.51709, -0.82861,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.1875,  0.42261,  0.69043,  0.13904,  0.41772
27, 3,  4.08142,  20.5187,  50.507, -0.07568, -0.38037, -0.92188,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.125,  0.47363,  0.63916,  0.16797,  0.44922
28, 5,  5.92531,  29.78853,  45.4551, -0.10919, -0.54883, -0.82861,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.1875,  0.46118,  0.70215,  0.16028,  0.41113
29, 10,  11.62291,  28.06019,  45.4551, -0.21423, -0.51709, -0.82861,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.1875,  0.42261,  0.69043,  0.13904,  0.41772
30, 10,  11.62291,  28.06019,  45.4551, -0.21423, -0.51709, -0.82861,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.1875,  0.42261,  0.69043,  0.13904,  0.41772
31, 9,  14.79316,  35.71384,  38.65638, -0.27173, -0.65625, -0.7041,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.25,  0.40112,  0.74219,  0.12311,  0.37964
32, 11,  21.47633,  32.14161,  38.65638, -0.39453, -0.59033, -0.7041,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.25,  0.35571,  0.71826,  0.09644,  0.39404
33, 2,  2.08069,  10.46034,  53.61795, -0.03922, -0.19714, -0.97949,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.0625,  0.4873,  0.5708,  0.17517,  0.48584
34, 3,  4.08142,  20.5187,  50.507, -0.07568, -0.38037, -0.92188,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.125,  0.47363,  0.63916,  0.16797,  0.44922
35, 12,  8.006,  19.3282,  50.507, -0.14844, -0.3584, -0.92188,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.125,  0.44702,  0.63135,  0.15393,  0.45337
36, 3,  4.08142,  20.5187,  50.507, -0.07568, -0.38037, -0.92188,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.125,  0.47363,  0.63916,  0.16797,  0.44922
37, 10,  11.62291,  28.06019,  45.4551, -0.21423, -0.51709, -0.82861,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.1875,  0.42261,  0.69043,  0.13904,  0.41772
38, 12,  8.006,  19.3282,  50.507, -0.14844, -0.3584, -0.92188,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.125,  0.44702,  0.63135,  0.15393,  0.45337
39, 10,  11.62291,  28.06019,  45.4551, -0.21423, -0.51709, -0.82861,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.1875,  0.42261,  0.69043,  0.13904,  0.41772
40, 11,  21.47633,  32.14161,  38.65638, -0.39453, -0.59033, -0.7041,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.25,  0.35571,  0.71826,  0.09644,  0.39404
41, 13,  16.87385,  25.2535,  45.4551, -0.31104, -0.46533, -0.82861,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.1875,  0.38696,  0.67139,  0.11957,  0.42822
42, 12,  8.006,  19.3282,  50.507, -0.14844, -0.3584, -0.92188,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.125,  0.44702,  0.63135,  0.15393,  0.45337
43, 10,  11.62291,  28.06019,  45.4551, -0.21423, -0.51709, -0.82861,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.1875,  0.42261,  0.69043,  0.13904,  0.41772
44, 13,  16.87385,  25.2535,  45.4551, -0.31104, -0.46533, -0.82861,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.1875,  0.38696,  0.67139,  0.11957,  0.42822
45, 2,  2.08069,  10.46034,  53.61795, -0.03922, -0.19714, -0.97949,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.0625,  0.4873,  0.5708,  0.17517,  0.48584
46, 12,  8.006,  19.3282,  50.507, -0.14844, -0.3584, -0.92188,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.125,  0.44702,  0.63135,  0.15393,  0.45337
47, 14,  4.08142,  9.85343,  53.61795, -0.0769, -0.18567, -0.97949,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.0625,  0.47363,  0.56689,  0.16821,  0.48804
48, 15,  0.00,  0.00,  54.66838,  0.00,  0.00, -1.00,  0.00,  0.95703, -0.29028,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125, -1.19209E-07,  0.50146,  0.50,  0.18225,  0.52197
49, 2,  2.08069,  10.46034,  53.61795, -0.03922, -0.19714, -0.97949,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.0625,  0.4873,  0.5708,  0.17517,  0.48584
50, 14,  4.08142,  9.85343,  53.61795, -0.0769, -0.18567, -0.97949,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.0625,  0.47363,  0.56689,  0.16821,  0.48804
51, 14,  4.08142,  9.85343,  53.61795, -0.0769, -0.18567, -0.97949,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.0625,  0.47363,  0.56689,  0.16821,  0.48804
52, 12,  8.006,  19.3282,  50.507, -0.14844, -0.3584, -0.92188,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.125,  0.44702,  0.63135,  0.15393,  0.45337
53, 16,  11.62291,  17.39492,  50.507, -0.21545, -0.32251, -0.92188,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.125,  0.42261,  0.61816,  0.14111,  0.46021
54, 12,  8.006,  19.3282,  50.507, -0.14844, -0.3584, -0.92188,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.125,  0.44702,  0.63135,  0.15393,  0.45337
55, 13,  16.87385,  25.2535,  45.4551, -0.31104, -0.46533, -0.82861,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.1875,  0.38696,  0.67139,  0.11957,  0.42822
56, 16,  11.62291,  17.39492,  50.507, -0.21545, -0.32251, -0.92188,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.125,  0.42261,  0.61816,  0.14111,  0.46021
57, 14,  4.08142,  9.85343,  53.61795, -0.0769, -0.18567, -0.97949,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.0625,  0.47363,  0.56689,  0.16821,  0.48804
58, 16,  11.62291,  17.39492,  50.507, -0.21545, -0.32251, -0.92188,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.125,  0.42261,  0.61816,  0.14111,  0.46021
59, 17,  5.92531,  8.86785,  53.61795, -0.11163, -0.16711, -0.97949,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.0625,  0.46118,  0.56006,  0.16187,  0.49146
60, 18,  0.00,  0.00,  54.66838,  0.00,  0.00, -1.00,  0.00,  0.88184, -0.47144,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625, -1.19209E-07,  0.50146,  0.50,  0.18225,  0.52197
61, 14,  4.08142,  9.85343,  53.61795, -0.0769, -0.18567, -0.97949,  0.00,  0.92383, -0.38257,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.0625,  0.0625,  0.47363,  0.56689,  0.16821,  0.48804
62, 17,  5.92531,  8.86785,  53.61795, -0.11163, -0.16711, -0.97949,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.0625,  0.46118,  0.56006,  0.16187,  0.49146
63, 13,  16.87385,  25.2535,  45.4551, -0.31104, -0.46533, -0.82861,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.1875,  0.38696,  0.67139,  0.11957,  0.42822
64, 11,  21.47633,  32.14161,  38.65638, -0.39453, -0.59033, -0.7041,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.25,  0.35571,  0.71826,  0.09644,  0.39404
65, 19,  27.33419,  27.33419,  38.65638, -0.50195, -0.50195, -0.7041,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.25,  0.31592,  0.68555,  0.07349,  0.41357
66, 16,  11.62291,  17.39492,  50.507, -0.21545, -0.32251, -0.92188,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.125,  0.42261,  0.61816,  0.14111,  0.46021
67, 13,  16.87385,  25.2535,  45.4551, -0.31104, -0.46533, -0.82861,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.1875,  0.38696,  0.67139,  0.11957,  0.42822
68, 20,  21.47634,  21.47634,  45.4551, -0.39575, -0.39575, -0.82861,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.1875,  0.35571,  0.64551,  0.10248,  0.44214
69, 13,  16.87385,  25.2535,  45.4551, -0.31104, -0.46533, -0.82861,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.1875,  0.38696,  0.67139,  0.11957,  0.42822
70, 19,  27.33419,  27.33419,  38.65638, -0.50195, -0.50195, -0.7041,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.25,  0.31592,  0.68555,  0.07349,  0.41357
71, 20,  21.47634,  21.47634,  45.4551, -0.39575, -0.39575, -0.82861,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.1875,  0.35571,  0.64551,  0.10248,  0.44214
72, 17,  5.92531,  8.86785,  53.61795, -0.11163, -0.16711, -0.97949,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.0625,  0.46118,  0.56006,  0.16187,  0.49146
73, 16,  11.62291,  17.39492,  50.507, -0.21545, -0.32251, -0.92188,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.125,  0.42261,  0.61816,  0.14111,  0.46021
74, 21,  14.79316,  14.79316,  50.507, -0.27417, -0.27417, -0.92188,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.125,  0.40112,  0.60059,  0.12988,  0.46948
75, 16,  11.62291,  17.39492,  50.507, -0.21545, -0.32251, -0.92188,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.125,  0.42261,  0.61816,  0.14111,  0.46021
76, 20,  21.47634,  21.47634,  45.4551, -0.39575, -0.39575, -0.82861,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.1875,  0.35571,  0.64551,  0.10248,  0.44214
77, 21,  14.79316,  14.79316,  50.507, -0.27417, -0.27417, -0.92188,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.125,  0.40112,  0.60059,  0.12988,  0.46948
78, 11,  21.47633,  32.14161,  38.65638, -0.39453, -0.59033, -0.7041,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.25,  0.35571,  0.71826,  0.09644,  0.39404
79, 22,  32.14161,  32.14161,  30.37212, -0.58936, -0.58936, -0.55273,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.3125,  0.27539,  0.72607,  0.0434,  0.38354
80, 19,  27.33419,  27.33419,  38.65638, -0.50195, -0.50195, -0.7041,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.25,  0.31592,  0.68555,  0.07349,  0.41357
81, 11,  21.47633,  32.14161,  38.65638, -0.39453, -0.59033, -0.7041,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.25,  0.35571,  0.71826,  0.09644,  0.39404
82, 23,  25.2535,  37.79454,  30.37212, -0.46289, -0.69287, -0.55273,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.3125,  0.32373,  0.76563,  0.07031,  0.35986
83, 22,  32.14161,  32.14161,  30.37212, -0.58936, -0.58936, -0.55273,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.3125,  0.27539,  0.72607,  0.0434,  0.38354
84, 19,  27.33419,  27.33419,  38.65638, -0.50195, -0.50195, -0.7041,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.25,  0.31592,  0.68555,  0.07349,  0.41357
85, 22,  32.14161,  32.14161,  30.37212, -0.58936, -0.58936, -0.55273,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.3125,  0.27539,  0.72607,  0.0434,  0.38354
86, 24,  37.79454,  25.2535,  30.37212, -0.69287, -0.46289, -0.55273,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.3125,  0.2356,  0.67773,  0.02013,  0.4104
87, 19,  27.33419,  27.33419,  38.65638, -0.50195, -0.50195, -0.7041,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.25,  0.31592,  0.68555,  0.07349,  0.41357
88, 24,  37.79454,  25.2535,  30.37212, -0.69287, -0.46289, -0.55273,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.3125,  0.2356,  0.67773,  0.02013,  0.4104
89, 25,  32.14161,  21.47633,  38.65638, -0.59033, -0.39453, -0.7041,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.25,  0.28345,  0.64551,  0.05408,  0.43628
90, 20,  21.47634,  21.47634,  45.4551, -0.39575, -0.39575, -0.82861,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.1875,  0.35571,  0.64551,  0.10248,  0.44214
91, 19,  27.33419,  27.33419,  38.65638, -0.50195, -0.50195, -0.7041,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.25,  0.31592,  0.68555,  0.07349,  0.41357
92, 25,  32.14161,  21.47633,  38.65638, -0.59033, -0.39453, -0.7041,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.25,  0.28345,  0.64551,  0.05408,  0.43628
93, 20,  21.47634,  21.47634,  45.4551, -0.39575, -0.39575, -0.82861,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.1875,  0.35571,  0.64551,  0.10248,  0.44214
94, 25,  32.14161,  21.47633,  38.65638, -0.59033, -0.39453, -0.7041,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.25,  0.28345,  0.64551,  0.05408,  0.43628
95, 26,  25.2535,  16.87385,  45.4551, -0.46533, -0.31104, -0.82861,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.1875,  0.33008,  0.61426,  0.08838,  0.45923
96, 21,  14.79316,  14.79316,  50.507, -0.27417, -0.27417, -0.92188,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.125,  0.40112,  0.60059,  0.12988,  0.46948
97, 20,  21.47634,  21.47634,  45.4551, -0.39575, -0.39575, -0.82861,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.1875,  0.35571,  0.64551,  0.10248,  0.44214
98, 26,  25.2535,  16.87385,  45.4551, -0.46533, -0.31104, -0.82861,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.1875,  0.33008,  0.61426,  0.08838,  0.45923
99, 26,  25.2535,  16.87385,  45.4551, -0.46533, -0.31104, -0.82861,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.1875,  0.33008,  0.61426,  0.08838,  0.45923
100, 25,  32.14161,  21.47633,  38.65638, -0.59033, -0.39453, -0.7041,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.25,  0.28345,  0.64551,  0.05408,  0.43628
101, 27,  35.71384,  14.79315,  38.65638, -0.65625, -0.27173, -0.7041,  0.00,  0.38257, -0.92383,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.1875,  0.25,  0.25903,  0.60059,  0.0397,  0.46313
102, 17,  5.92531,  8.86785,  53.61795, -0.11163, -0.16711, -0.97949,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.0625,  0.46118,  0.56006,  0.16187,  0.49146
103, 21,  14.79316,  14.79316,  50.507, -0.27417, -0.27417, -0.92188,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.125,  0.40112,  0.60059,  0.12988,  0.46948
104, 28,  7.54149,  7.54149,  53.61795, -0.14209, -0.14209, -0.97949,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.0625,  0.4502,  0.55127,  0.15625,  0.49585
105, 29,  0.00,  0.00,  54.66838,  0.00,  0.00, -1.00,  0.00,  0.77295, -0.63428,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375, -1.19209E-07,  0.50146,  0.50,  0.18225,  0.52197
106, 17,  5.92531,  8.86785,  53.61795, -0.11163, -0.16711, -0.97949,  0.00,  0.83154, -0.55566,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.09375,  0.0625,  0.46118,  0.56006,  0.16187,  0.49146
107, 28,  7.54149,  7.54149,  53.61795, -0.14209, -0.14209, -0.97949,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.0625,  0.4502,  0.55127,  0.15625,  0.49585
108, 21,  14.79316,  14.79316,  50.507, -0.27417, -0.27417, -0.92188,  0.00,  0.70703, -0.70703,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.125,  0.125,  0.40112,  0.60059,  0.12988,  0.46948
109, 26,  25.2535,  16.87385,  45.4551, -0.46533, -0.31104, -0.82861,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.1875,  0.33008,  0.61426,  0.08838,  0.45923
110, 30,  17.39492,  11.62291,  50.507, -0.32251, -0.21545, -0.92188,  0.00,  0.55566, -0.83154,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15625,  0.125,  0.3833,  0.57861,  0.12054,  0.48071
