VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
42, 22, -0.05079,  0.07662,  0.02375, -0.88909, -0.45385, -0.05675,  1.00,  0.00,  0.00,  0.00,  0.50,  0.25562,  0.50,  0.25562
43, 21, -0.05151,  0.07786,  0.02225, -0.31769,  0.80942,  0.49377,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.2583,  0.50586,  0.2583
44, 20, -0.05129,  0.07747,  0.02172, -0.83577, -0.53035,  0.14098,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.25562,  0.50586,  0.25562
45, 22, -0.05079,  0.07662,  0.02375, -0.88909, -0.45385, -0.05675,  1.00,  0.00,  0.00,  0.00,  0.50,  0.25562,  0.50,  0.25562
46, 23, -0.05106,  0.07709,  0.02422, -0.02704,  0.95239,  0.30354,  1.00,  0.00,  0.00,  0.00,  0.50,  0.2583,  0.50,  0.2583
47, 21, -0.05151,  0.07786,  0.02225, -0.31769,  0.80942,  0.49377,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.2583,  0.50586,  0.2583
48, 23, -0.05106,  0.07709,  0.02422, -0.02704,  0.95239,  0.30354,  1.00,  0.00,  0.00,  0.00,  0.50,  0.2583,  0.50,  0.2583
49, 22, -0.05079,  0.07662,  0.02375, -0.88909, -0.45385, -0.05675,  1.00,  0.00,  0.00,  0.00,  0.50,  0.25562,  0.50,  0.25562
50, 24, -0.05073,  0.07554,  0.02739, -0.91072, -0.39429, -0.12199,  1.00,  0.00,  0.00,  0.00,  0.49438,  0.25562,  0.49438,  0.25562
51, 25, -0.05518,  0.07951, -0.02125,  0.62492,  0.45067, -0.63722,  1.00,  0.00,  0.00,  0.00,  0.38184,  0.63037,  0.38184,  0.63037
52, 26, -0.05515,  0.07928, -0.02137,  0.68746, -0.38855, -0.61326,  1.00,  0.00,  0.00,  0.00,  0.39355,  0.63037,  0.39355,  0.63037
53, 27, -0.05625,  0.07909, -0.0232,  0.72978, -0.48669, -0.47964,  1.00,  0.00,  0.00,  0.00,  0.39355,  0.63037,  0.39355,  0.63037
54, 28, -0.01934,  0.01935, -0.05113,  0.42366,  0.09553, -0.90077,  1.00,  0.00,  0.00,  0.50196,  0.25903,  0.9707,  0.25903,  0.9707
55, 29, -0.01484,  0.01769, -0.04762,  0.48411, -0.44791, -0.75168,  1.00,  0.00,  0.00,  0.00,  0.25903,  0.98535,  0.25903,  0.98535
56, 30, -0.01755,  0.01707, -0.049,  0.98603, -0.09367, -0.13774,  1.00,  0.00,  0.00,  0.18039,  0.25317,  0.98242,  0.25317,  0.98242
57, 31, -0.05646,  0.00683, -0.06426, -0.52178,  0.04716, -0.85177,  0.00,  0.00,  0.00,  0.00,  0.26318,  0.96631,  0.26318,  0.96631
58, 32, -0.05851, -0.00044, -0.07028, -0.86502, -0.42393,  0.26836,  0.00,  0.00,  0.00,  0.00,  0.2627,  0.97119,  0.2627,  0.97119
59, 33, -0.05282,  0.00038, -0.05789, -0.40283, -0.71815,  0.56744,  0.00,  0.00,  0.00,  0.00,  0.25659,  0.96631,  0.25659,  0.96631
60, 34, -0.05646,  0.00683,  0.06426, -0.52179,  0.04715,  0.85177,  0.00,  0.00,  0.00,  0.00,  0.26318,  0.96631,  0.26318,  0.96631
61, 35, -0.05282,  0.00038,  0.05789, -0.40283, -0.71815, -0.56744,  0.00,  0.00,  0.00,  0.00,  0.25659,  0.96631,  0.25659,  0.96631
62, 36, -0.05851, -0.00044,  0.07028, -0.86502, -0.42393, -0.26836,  0.00,  0.00,  0.00,  0.00,  0.2627,  0.97119,  0.2627,  0.97119
63, 37, -0.06419,  0.06813, -0.05942, -0.00887, -0.7975, -0.60326,  1.00,  0.00,  0.00,  0.00,  0.98145,  0.13586,  0.98145,  0.13586
64, 38, -0.06204,  0.068, -0.05695,  0.73843, -0.27243, -0.61664,  1.00,  0.00,  0.00,  0.00,  0.9668,  0.13684,  0.9668,  0.13684
65, 39, -0.06382,  0.06858, -0.05663, -0.90, -0.42136,  0.10959,  1.00,  0.00,  0.00,  0.00,  0.97412,  0.12854,  0.97412,  0.12854
66, 40, -0.06419,  0.06813,  0.05942, -0.00888, -0.7975,  0.60325,  1.00,  0.00,  0.00,  0.00,  0.98145,  0.13586,  0.98145,  0.13586
67, 41, -0.06382,  0.06858,  0.05663, -0.90, -0.42137, -0.1096,  1.00,  0.00,  0.00,  0.00,  0.97412,  0.12854,  0.97412,  0.12854
68, 42, -0.06204,  0.068,  0.05695,  0.73843, -0.27243,  0.61665,  1.00,  0.00,  0.00,  0.00,  0.96631,  0.13721,  0.96631,  0.13721
69, 43, -0.01755,  0.01707,  0.049,  0.98603, -0.09368,  0.13774,  1.00,  0.00,  0.00,  0.18039,  0.26294,  0.97754,  0.26294,  0.97754
70, 44, -0.01484,  0.01769,  0.04762,  0.48411, -0.44791,  0.75168,  1.00,  0.00,  0.00,  0.00,  0.25732,  0.97412,  0.25732,  0.97412
71, 45, -0.01934,  0.01935,  0.05113,  0.42366,  0.09553,  0.90077,  1.00,  0.00,  0.00,  0.50196,  0.25732,  0.98926,  0.25732,  0.98926
72, 46, -0.04788,  0.07188, -0.03867,  0.09937,  0.9323, -0.34759,  1.00,  0.00,  0.00,  0.00,  0.94727,  0.30273,  0.94727,  0.30273
73, 47, -0.04879,  0.07106, -0.04116,  0.10682,  0.92733, -0.35848,  1.00,  0.00,  0.00,  0.00,  0.9541,  0.31299,  0.9541,  0.31299
74, 48, -0.04922,  0.07119, -0.04092,  0.10532,  0.92842, -0.35609,  1.00,  0.00,  0.00,  0.00,  0.95166,  0.31372,  0.95166,  0.31372
75, 49, -0.04992,  0.07072, -0.04238,  0.12143,  0.91814, -0.37699,  1.00,  0.00,  0.00,  0.00,  0.95459,  0.3208,  0.95459,  0.3208
76, 48, -0.04922,  0.07119, -0.04092,  0.10532,  0.92842, -0.35609,  1.00,  0.00,  0.00,  0.00,  0.95166,  0.31372,  0.95166,  0.31372
77, 47, -0.04879,  0.07106, -0.04116,  0.10682,  0.92733, -0.35848,  1.00,  0.00,  0.00,  0.00,  0.9541,  0.31299,  0.9541,  0.31299
78, 49, -0.04992,  0.07072, -0.04238,  0.12143,  0.91814, -0.37699,  1.00,  0.00,  0.00,  0.00,  0.95459,  0.3208,  0.95459,  0.3208
79, 47, -0.04879,  0.07106, -0.04116,  0.10682,  0.92733, -0.35848,  1.00,  0.00,  0.00,  0.00,  0.9541,  0.31299,  0.9541,  0.31299
80, 50, -0.04925,  0.07047, -0.04279,  0.12431,  0.91576, -0.3818,  1.00,  0.00,  0.00,  0.00,  0.9585,  0.31958,  0.9585,  0.31958
81, 51, -0.05061,  0.07017, -0.04395,  0.14154,  0.9069, -0.39666,  1.00,  0.00,  0.00,  0.00,  0.95801,  0.32764,  0.95801,  0.32764
82, 49, -0.04992,  0.07072, -0.04238,  0.12143,  0.91814, -0.37699,  1.00,  0.00,  0.00,  0.00,  0.95459,  0.3208,  0.95459,  0.3208
83, 50, -0.04925,  0.07047, -0.04279,  0.12431,  0.91576, -0.3818,  1.00,  0.00,  0.00,  0.00,  0.9585,  0.31958,  0.9585,  0.31958
84, 51, -0.05061,  0.07017, -0.04395,  0.14154,  0.9069, -0.39666,  1.00,  0.00,  0.00,  0.00,  0.95801,  0.32764,  0.95801,  0.32764
85, 50, -0.04925,  0.07047, -0.04279,  0.12431,  0.91576, -0.3818,  1.00,  0.00,  0.00,  0.00,  0.9585,  0.31958,  0.9585,  0.31958
86, 52, -0.04966,  0.06975, -0.04459,  0.14628,  0.90356, -0.40251,  1.00,  0.00,  0.00,  0.00,  0.96338,  0.32666,  0.96338,  0.32666
87, 52, -0.04966,  0.06975, -0.04459,  0.14628,  0.90356, -0.40251,  1.00,  0.00,  0.00,  0.00,  0.96338,  0.32666,  0.96338,  0.32666
88, 53, -0.0511,  0.06979, -0.04507,  0.19392,  0.8849, -0.4233,  1.00,  0.00,  0.00,  0.00,  0.96045,  0.33325,  0.96045,  0.33325
89, 51, -0.05061,  0.07017, -0.04395,  0.14154,  0.9069, -0.39666,  1.00,  0.00,  0.00,  0.00,  0.95801,  0.32764,  0.95801,  0.32764
90, 52, -0.04966,  0.06975, -0.04459,  0.14628,  0.90356, -0.40251,  1.00,  0.00,  0.00,  0.00,  0.96338,  0.32666,  0.96338,  0.32666
91, 54, -0.05007,  0.0688, -0.04681,  0.22233,  0.87143, -0.43706,  1.00,  0.00,  0.00,  0.00,  0.9707,  0.33545,  0.9707,  0.33545
92, 53, -0.0511,  0.06979, -0.04507,  0.19392,  0.8849, -0.4233,  1.00,  0.00,  0.00,  0.00,  0.96045,  0.33325,  0.96045,  0.33325
93, 55, -0.05251,  0.06895, -0.04782,  0.2402,  0.85785, -0.45416,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.34717,  0.96582,  0.34717
94, 53, -0.0511,  0.06979, -0.04507,  0.19392,  0.8849, -0.4233,  1.00,  0.00,  0.00,  0.00,  0.96045,  0.33325,  0.96045,  0.33325
95, 54, -0.05007,  0.0688, -0.04681,  0.22233,  0.87143, -0.43706,  1.00,  0.00,  0.00,  0.00,  0.9707,  0.33545,  0.9707,  0.33545
96, 55, -0.05251,  0.06895, -0.04782,  0.2402,  0.85785, -0.45416,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.34717,  0.96582,  0.34717
97, 54, -0.05007,  0.0688, -0.04681,  0.22233,  0.87143, -0.43706,  1.00,  0.00,  0.00,  0.00,  0.9707,  0.33545,  0.9707,  0.33545
98, 56, -0.05041,  0.06748, -0.04928,  0.22128,  0.85743, -0.46444,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.34473,  0.97949,  0.34473
99, 55, -0.05251,  0.06895, -0.04782,  0.2402,  0.85785, -0.45416,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.34717,  0.96582,  0.34717
100, 56, -0.05041,  0.06748, -0.04928,  0.22128,  0.85743, -0.46444,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.34473,  0.97949,  0.34473
101, 57, -0.05052,  0.06707, -0.04996,  0.25598,  0.83708, -0.48335,  1.00,  0.00,  0.00,  0.00,  0.98438,  0.34888,  0.98438,  0.34888
102, 57, -0.05052,  0.06707, -0.04996,  0.25598,  0.83708, -0.48335,  1.00,  0.00,  0.00,  0.00,  0.98438,  0.34888,  0.98438,  0.34888
103, 58, -0.05353,  0.06831, -0.04944,  0.27754,  0.84075, -0.46474,  1.00,  0.00,  0.00,  0.00,  0.96826,  0.35596,  0.96826,  0.35596
104, 55, -0.05251,  0.06895, -0.04782,  0.2402,  0.85785, -0.45416,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.34717,  0.96582,  0.34717
105, 57, -0.05052,  0.06707, -0.04996,  0.25598,  0.83708, -0.48335,  1.00,  0.00,  0.00,  0.00,  0.98438,  0.34888,  0.98438,  0.34888
106, 59, -0.05163,  0.06662, -0.05141,  0.28241,  0.84046, -0.46232,  1.00,  0.00,  0.00,  0.00,  0.98584,  0.35791,  0.98584,  0.35791
107, 58, -0.05353,  0.06831, -0.04944,  0.27754,  0.84075, -0.46474,  1.00,  0.00,  0.00,  0.00,  0.96826,  0.35596,  0.96826,  0.35596
108, 58, -0.05353,  0.06831, -0.04944,  0.27754,  0.84075, -0.46474,  1.00,  0.00,  0.00,  0.00,  0.96826,  0.35596,  0.96826,  0.35596
109, 59, -0.05163,  0.06662, -0.05141,  0.28241,  0.84046, -0.46232,  1.00,  0.00,  0.00,  0.00,  0.98584,  0.35791,  0.98584,  0.35791
110, 60, -0.05329,  0.06632, -0.05294,  0.29304,  0.8385, -0.45926,  1.00,  0.00,  0.00,  0.00,  0.98535,  0.36914,  0.98535,  0.36914
111, 58, -0.05353,  0.06831, -0.04944,  0.27754,  0.84075, -0.46474,  1.00,  0.00,  0.00,  0.00,  0.96826,  0.35596,  0.96826,  0.35596
112, 60, -0.05329,  0.06632, -0.05294,  0.29304,  0.8385, -0.45926,  1.00,  0.00,  0.00,  0.00,  0.98535,  0.36914,  0.98535,  0.36914
113, 61, -0.05532,  0.06799, -0.0513,  0.30449,  0.83459, -0.45889,  1.00,  0.00,  0.00,  0.00,  0.96875,  0.36768,  0.96875,  0.36768
114, 60, -0.05329,  0.06632, -0.05294,  0.29304,  0.8385, -0.45926,  1.00,  0.00,  0.00,  0.00,  0.98535,  0.36914,  0.98535,  0.36914
115, 62, -0.05495,  0.06611, -0.05424,  0.30168,  0.81714, -0.49109,  1.00,  0.00,  0.00,  0.00,  0.98486,  0.3772,  0.98486,  0.3772
116, 61, -0.05532,  0.06799, -0.0513,  0.30449,  0.83459, -0.45889,  1.00,  0.00,  0.00,  0.00,  0.96875,  0.36768,  0.96875,  0.36768
117, 61, -0.05532,  0.06799, -0.0513,  0.30449,  0.83459, -0.45889,  1.00,  0.00,  0.00,  0.00,  0.96875,  0.36768,  0.96875,  0.36768
118, 62, -0.05495,  0.06611, -0.05424,  0.30168,  0.81714, -0.49109,  1.00,  0.00,  0.00,  0.00,  0.98486,  0.3772,  0.98486,  0.3772
119, 63, -0.05783,  0.06785, -0.05327,  0.34739,  0.78573, -0.51149,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.38232,  0.96582,  0.38232
120, 63, -0.05783,  0.06785, -0.05327,  0.34739,  0.78573, -0.51149,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.38232,  0.96582,  0.38232
121, 62, -0.05495,  0.06611, -0.05424,  0.30168,  0.81714, -0.49109,  1.00,  0.00,  0.00,  0.00,  0.98486,  0.3772,  0.98486,  0.3772
122, 64, -0.05673,  0.06576, -0.0557,  0.27341,  0.79983, -0.53427,  1.00,  0.00,  0.00,  0.00,  0.98291,  0.38745,  0.98291,  0.38745
123, 65, -0.05864,  0.06524, -0.05735,  0.35294,  0.75487, -0.55279,  1.00,  0.00,  0.00,  0.00,  0.97998,  0.39746,  0.97998,  0.39746
124, 63, -0.05783,  0.06785, -0.05327,  0.34739,  0.78573, -0.51149,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.38232,  0.96582,  0.38232
125, 64, -0.05673,  0.06576, -0.0557,  0.27341,  0.79983, -0.53427,  1.00,  0.00,  0.00,  0.00,  0.98291,  0.38745,  0.98291,  0.38745
126, 66, -0.06072,  0.06783, -0.05552,  0.37601,  0.74498, -0.55069,  1.00,  0.00,  0.00,  0.00,  0.96143,  0.39893,  0.96143,  0.39893
127, 63, -0.05783,  0.06785, -0.05327,  0.34739,  0.78573, -0.51149,  1.00,  0.00,  0.00,  0.00,  0.96582,  0.38232,  0.96582,  0.38232
128, 65, -0.05864,  0.06524, -0.05735,  0.35294,  0.75487, -0.55279,  1.00,  0.00,  0.00,  0.00,  0.97998,  0.39746,  0.97998,  0.39746
129, 66, -0.06072,  0.06783, -0.05552,  0.37601,  0.74498, -0.55069,  1.00,  0.00,  0.00,  0.00,  0.96143,  0.39893,  0.96143,  0.39893
130, 65, -0.05864,  0.06524, -0.05735,  0.35294,  0.75487, -0.55279,  1.00,  0.00,  0.00,  0.00,  0.97998,  0.39746,  0.97998,  0.39746
131, 67, -0.06029,  0.06477, -0.05894,  0.3533,  0.76021, -0.5452,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.40723,  0.97949,  0.40723
132, 67, -0.06029,  0.06477, -0.05894,  0.3533,  0.76021, -0.5452,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.40723,  0.97949,  0.40723
133, 68, -0.06167,  0.06694, -0.05679,  0.2221,  0.75956, -0.61117,  1.00,  0.00,  0.00,  0.00,  0.96533,  0.40576,  0.96533,  0.40576
134, 66, -0.06072,  0.06783, -0.05552,  0.37601,  0.74498, -0.55069,  1.00,  0.00,  0.00,  0.00,  0.96143,  0.39893,  0.96143,  0.39893
135, 67, -0.06029,  0.06477, -0.05894,  0.3533,  0.76021, -0.5452,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.40723,  0.97949,  0.40723
136, 69, -0.06205,  0.06618, -0.0581,  0.37155,  0.77769, -0.50692,  1.00,  0.00,  0.00,  0.00,  0.96973,  0.41162,  0.96973,  0.41162
137, 68, -0.06167,  0.06694, -0.05679,  0.2221,  0.75956, -0.61117,  1.00,  0.00,  0.00,  0.00,  0.96533,  0.40576,  0.96533,  0.40576
138, 70, -0.06135,  0.06458, -0.06009,  0.38807,  0.7904, -0.474,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.41455,  0.97949,  0.41455
139, 69, -0.06205,  0.06618, -0.0581,  0.37155,  0.77769, -0.50692,  1.00,  0.00,  0.00,  0.00,  0.96973,  0.41162,  0.96973,  0.41162
140, 67, -0.06029,  0.06477, -0.05894,  0.3533,  0.76021, -0.5452,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.40723,  0.97949,  0.40723
141, 71, -0.06244,  0.06434, -0.06137,  0.3854,  0.79084, -0.47545,  1.00,  0.00,  0.00,  0.00,  0.98047,  0.42383,  0.98047,  0.42383
142, 69, -0.06205,  0.06618, -0.0581,  0.37155,  0.77769, -0.50692,  1.00,  0.00,  0.00,  0.00,  0.96973,  0.41162,  0.96973,  0.41162
143, 70, -0.06135,  0.06458, -0.06009,  0.38807,  0.7904, -0.474,  1.00,  0.00,  0.00,  0.00,  0.97949,  0.41455,  0.97949,  0.41455
144, 72, -0.04788,  0.07188,  0.03867,  0.09933,  0.93237,  0.34741,  1.00,  0.00,  0.00,  0.00,  0.94727,  0.30273,  0.94727,  0.30273
145, 73, -0.04922,  0.07119,  0.04092,  0.1053,  0.92845,  0.35602,  1.00,  0.00,  0.00,  0.00,  0.95166,  0.31372,  0.95166,  0.31372
146, 74, -0.04879,  0.07106,  0.04116,  0.10681,  0.92734,  0.35843,  1.00,  0.00,  0.00,  0.00,  0.9541,  0.31299,  0.9541,  0.31299
147, 75, -0.04992,  0.07072,  0.04238,  0.12143,  0.91813,  0.377,  1.00,  0.00,  0.00,  0.00,  0.95459,  0.3208,  0.95459,  0.3208
148, 74, -0.04879,  0.07106,  0.04116,  0.10681,  0.92734,  0.35843,  1.00,  0.00,  0.00,  0.00,  0.9541,  0.31299,  0.9541,  0.31299
149, 73, -0.04922,  0.07119,  0.04092,  0.1053,  0.92845,  0.35602,  1.00,  0.00,  0.00,  0.00,  0.95166,  0.31372,  0.95166,  0.31372
150, 75, -0.04992,  0.07072,  0.04238,  0.12143,  0.91813,  0.377,  1.00,  0.00,  0.00,  0.00,  0.95459,  0.3208,  0.95459,  0.3208
151, 76, -0.04925,  0.07047,  0.04279,  0.12431,  0.91576,  0.38181,  1.00,  0.00,  0.00,  0.00,  0.9585,  0.31958,  0.9585,  0.31958
152, 74, -0.04879,  0.07106,  0.04116,  0.10681,  0.92734,  0.35843,  1.00,  0.00,  0.00,  0.00,  0.9541,  0.31299,  0.9541,  0.31299
153, 77, -0.05061,  0.07017,  0.04395,  0.14154,  0.90689,  0.39668,  1.00,  0.00,  0.00,  0.00,  0.95801,  0.32764,  0.95801,  0.32764
154, 76, -0.04925,  0.07047,  0.04279,  0.12431,  0.91576,  0.38181,  1.00,  0.00,  0.00,  0.00,  0.9585,  0.31958,  0.9585,  0.31958
155, 75, -0.04992,  0.07072,  0.04238,  0.12143,  0.91813,  0.377,  1.00,  0.00,  0.00,  0.00,  0.95459,  0.3208,  0.95459,  0.3208
156, 77, -0.05061,  0.07017,  0.04395,  0.14154,  0.90689,  0.39668,  1.00,  0.00,  0.00,  0.00,  0.95801,  0.32764,  0.95801,  0.32764
157, 78, -0.04966,  0.06975,  0.04459,  0.14629,  0.90355,  0.40253,  1.00,  0.00,  0.00,  0.00,  0.96338,  0.32666,  0.96338,  0.32666
158, 76, -0.04925,  0.07047,  0.04279,  0.12431,  0.91576,  0.38181,  1.00,  0.00,  0.00,  0.00,  0.9585,  0.31958,  0.9585,  0.31958
159, 78, -0.04966,  0.06975,  0.04459,  0.14629,  0.90355,  0.40253,  1.00,  0.00,  0.00,  0.00,  0.96338,  0.32666,  0.96338,  0.32666
160, 77, -0.05061,  0.07017,  0.04395,  0.14154,  0.90689,  0.39668,  1.00,  0.00,  0.00,  0.00,  0.95801,  0.32764,  0.95801,  0.32764
