VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD2.x, in_TEXCOORD2.y, in_BLENDWEIGHTS0.x, in_BLENDWEIGHTS0.y, in_BLENDWEIGHTS0.z, in_BLENDWEIGHTS0.w, in_BLENDINDICES0.x, in_BLENDINDICES0.y, in_BLENDINDICES0.z, in_BLENDINDICES0.w
10, 5, -0.69445,  0.17851, -1.85391,  1.00,  1.00,  1.00,  1.00,  0.79297,  0.0376,  0.79297,  0.0376,  0.79297,  0.0376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
11, 3, -0.59734,  0.16324, -1.89683,  1.00,  1.00,  1.00,  1.00,  0.89795,  0.039,  0.89795,  0.039,  0.89795,  0.039,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
12, 2, -0.61683,  0.16617, -2.00208,  1.00,  1.00,  1.00,  1.00,  0.90479, -0.00003,  0.90479, -0.00003,  0.90479, -0.00003,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
13, 6, -0.71293,  0.18461, -1.96448,  1.00,  1.00,  1.00,  1.00,  0.81006, -0.00003,  0.81006, -0.00003,  0.81006, -0.00003,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
14, 5, -0.69445,  0.17851, -1.85391,  1.00,  1.00,  1.00,  1.00,  0.79297,  0.0376,  0.79297,  0.0376,  0.79297,  0.0376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
15, 5, -0.69445,  0.17851, -1.85391,  1.00,  1.00,  1.00,  1.00,  0.79297,  0.0376,  0.79297,  0.0376,  0.79297,  0.0376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
16, 6, -0.71293,  0.18461, -1.96448,  1.00,  1.00,  1.00,  1.00,  0.81006, -0.00003,  0.81006, -0.00003,  0.81006, -0.00003,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
17, 7, -0.79326,  0.2098, -1.88454,  1.00,  1.00,  1.00,  1.00,  0.71094,  0.00002,  0.71094,  0.00002,  0.71094,  0.00002,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
18, 4, -0.49585,  0.15658, -1.83492,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.07397,  0.99951,  0.07397,  0.99951,  0.07397,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
19, 3, -0.59734,  0.16324, -1.89683,  1.00,  1.00,  1.00,  1.00,  0.89795,  0.039,  0.89795,  0.039,  0.89795,  0.039,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
20, 8, -0.59277,  0.16695, -1.7942,  1.00,  1.00,  1.00,  1.00,  0.88379,  0.07416,  0.88379,  0.07416,  0.88379,  0.07416,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
21, 9, -0.50256,  0.17168, -1.71121,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.11304,  0.99951,  0.11304,  0.99951,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
22, 4, -0.49585,  0.15658, -1.83492,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.07397,  0.99951,  0.07397,  0.99951,  0.07397,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
23, 8, -0.59277,  0.16695, -1.7942,  1.00,  1.00,  1.00,  1.00,  0.88379,  0.07416,  0.88379,  0.07416,  0.88379,  0.07416,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
24, 3, -0.59734,  0.16324, -1.89683,  1.00,  1.00,  1.00,  1.00,  0.89795,  0.039,  0.89795,  0.039,  0.89795,  0.039,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
25, 5, -0.69445,  0.17851, -1.85391,  1.00,  1.00,  1.00,  1.00,  0.79297,  0.0376,  0.79297,  0.0376,  0.79297,  0.0376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
26, 10, -0.68969,  0.17733, -1.75349,  1.00,  1.00,  1.00,  1.00,  0.76904,  0.07196,  0.76904,  0.07196,  0.76904,  0.07196,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
27, 3, -0.59734,  0.16324, -1.89683,  1.00,  1.00,  1.00,  1.00,  0.89795,  0.039,  0.89795,  0.039,  0.89795,  0.039,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
28, 10, -0.68969,  0.17733, -1.75349,  1.00,  1.00,  1.00,  1.00,  0.76904,  0.07196,  0.76904,  0.07196,  0.76904,  0.07196,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
29, 8, -0.59277,  0.16695, -1.7942,  1.00,  1.00,  1.00,  1.00,  0.88379,  0.07416,  0.88379,  0.07416,  0.88379,  0.07416,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
30, 5, -0.69445,  0.17851, -1.85391,  1.00,  1.00,  1.00,  1.00,  0.79297,  0.0376,  0.79297,  0.0376,  0.79297,  0.0376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
31, 7, -0.79326,  0.2098, -1.88454,  1.00,  1.00,  1.00,  1.00,  0.71094,  0.00002,  0.71094,  0.00002,  0.71094,  0.00002,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
32, 11, -0.76809,  0.20182, -1.7741,  1.00,  1.00,  1.00,  1.00,  0.69092,  0.04437,  0.69092,  0.04437,  0.69092,  0.04437,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
33, 10, -0.68969,  0.17733, -1.75349,  1.00,  1.00,  1.00,  1.00,  0.76904,  0.07196,  0.76904,  0.07196,  0.76904,  0.07196,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
34, 5, -0.69445,  0.17851, -1.85391,  1.00,  1.00,  1.00,  1.00,  0.79297,  0.0376,  0.79297,  0.0376,  0.79297,  0.0376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
35, 11, -0.76809,  0.20182, -1.7741,  1.00,  1.00,  1.00,  1.00,  0.69092,  0.04437,  0.69092,  0.04437,  0.69092,  0.04437,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
36, 7, -0.79326,  0.2098, -1.88454,  1.00,  1.00,  1.00,  1.00,  0.71094,  0.00002,  0.71094,  0.00002,  0.71094,  0.00002,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
37, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
38, 11, -0.76809,  0.20182, -1.7741,  1.00,  1.00,  1.00,  1.00,  0.69092,  0.04437,  0.69092,  0.04437,  0.69092,  0.04437,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
39, 7, -0.79326,  0.2098, -1.88454,  1.00,  1.00,  1.00,  1.00,  0.71094,  0.00002,  0.71094,  0.00002,  0.71094,  0.00002,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
40, 13, -0.84748,  0.20993, -1.83048,  1.00,  1.00,  1.00,  1.00,  0.646,  0.00005,  0.646,  0.00005,  0.646,  0.00005,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
41, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
42, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
43, 13, -0.84748,  0.20993, -1.83048,  1.00,  1.00,  1.00,  1.00,  0.646,  0.00005,  0.646,  0.00005,  0.646,  0.00005,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
44, 14, -0.89999,  0.18777, -1.78579,  1.00,  1.00,  1.00,  1.00,  0.58301,  0.00008,  0.58301,  0.00008,  0.58301,  0.00008,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
45, 10, -0.68969,  0.17733, -1.75349,  1.00,  1.00,  1.00,  1.00,  0.76904,  0.07196,  0.76904,  0.07196,  0.76904,  0.07196,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
46, 11, -0.76809,  0.20182, -1.7741,  1.00,  1.00,  1.00,  1.00,  0.69092,  0.04437,  0.69092,  0.04437,  0.69092,  0.04437,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
47, 15, -0.75739,  0.199, -1.67464,  1.00,  1.00,  1.00,  1.00,  0.66797,  0.0824,  0.66797,  0.0824,  0.66797,  0.0824,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
48, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
49, 15, -0.75739,  0.199, -1.67464,  1.00,  1.00,  1.00,  1.00,  0.66797,  0.0824,  0.66797,  0.0824,  0.66797,  0.0824,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
50, 11, -0.76809,  0.20182, -1.7741,  1.00,  1.00,  1.00,  1.00,  0.69092,  0.04437,  0.69092,  0.04437,  0.69092,  0.04437,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
51, 8, -0.59277,  0.16695, -1.7942,  1.00,  1.00,  1.00,  1.00,  0.88379,  0.07416,  0.88379,  0.07416,  0.88379,  0.07416,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
52, 10, -0.68969,  0.17733, -1.75349,  1.00,  1.00,  1.00,  1.00,  0.76904,  0.07196,  0.76904,  0.07196,  0.76904,  0.07196,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
53, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
54, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
55, 10, -0.68969,  0.17733, -1.75349,  1.00,  1.00,  1.00,  1.00,  0.76904,  0.07196,  0.76904,  0.07196,  0.76904,  0.07196,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
56, 15, -0.75739,  0.199, -1.67464,  1.00,  1.00,  1.00,  1.00,  0.66797,  0.0824,  0.66797,  0.0824,  0.66797,  0.0824,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
57, 9, -0.50256,  0.17168, -1.71121,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.11304,  0.99951,  0.11304,  0.99951,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
58, 8, -0.59277,  0.16695, -1.7942,  1.00,  1.00,  1.00,  1.00,  0.88379,  0.07416,  0.88379,  0.07416,  0.88379,  0.07416,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
59, 17, -0.59732,  0.17754, -1.67612,  1.00,  1.00,  1.00,  1.00,  0.86719,  0.11304,  0.86719,  0.11304,  0.86719,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
60, 8, -0.59277,  0.16695, -1.7942,  1.00,  1.00,  1.00,  1.00,  0.88379,  0.07416,  0.88379,  0.07416,  0.88379,  0.07416,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
61, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
62, 17, -0.59732,  0.17754, -1.67612,  1.00,  1.00,  1.00,  1.00,  0.86719,  0.11304,  0.86719,  0.11304,  0.86719,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
63, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
64, 9, -0.50256,  0.17168, -1.71121,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.11304,  0.99951,  0.11304,  0.99951,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
65, 17, -0.59732,  0.17754, -1.67612,  1.00,  1.00,  1.00,  1.00,  0.86719,  0.11304,  0.86719,  0.11304,  0.86719,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
66, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
67, 19, -0.51031,  0.18675, -1.59884,  1.00,  1.00,  1.00,  1.00,  0.99902,  0.14856,  0.99902,  0.14856,  0.99902,  0.14856,  0.99588,  0.00412,  0.00,  0.00, 0, 1, 0, 0
68, 9, -0.50256,  0.17168, -1.71121,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.11304,  0.99951,  0.11304,  0.99951,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
69, 20, -0.51302,  0.19845, -1.47743,  1.00,  1.00,  1.00,  1.00,  0.99902,  0.18762,  0.99902,  0.18762,  0.99902,  0.18762,  0.85138,  0.14736,  0.00127,  0.00, 0, 1, 2, 0
70, 19, -0.51031,  0.18675, -1.59884,  1.00,  1.00,  1.00,  1.00,  0.99902,  0.14856,  0.99902,  0.14856,  0.99902,  0.14856,  0.99588,  0.00412,  0.00,  0.00, 0, 1, 0, 0
71, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
72, 21, -0.69756,  0.19095, -1.52974,  1.00,  1.00,  1.00,  1.00,  0.71191,  0.14612,  0.71191,  0.14612,  0.71191,  0.14612,  0.92952,  0.07048,  0.00,  0.00, 0, 1, 0, 0
73, 17, -0.59732,  0.17754, -1.67612,  1.00,  1.00,  1.00,  1.00,  0.86719,  0.11304,  0.86719,  0.11304,  0.86719,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
74, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
75, 21, -0.69756,  0.19095, -1.52974,  1.00,  1.00,  1.00,  1.00,  0.71191,  0.14612,  0.71191,  0.14612,  0.71191,  0.14612,  0.92952,  0.07048,  0.00,  0.00, 0, 1, 0, 0
76, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
77, 17, -0.59732,  0.17754, -1.67612,  1.00,  1.00,  1.00,  1.00,  0.86719,  0.11304,  0.86719,  0.11304,  0.86719,  0.11304,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
78, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
79, 14, -0.89999,  0.18777, -1.78579,  1.00,  1.00,  1.00,  1.00,  0.58301,  0.00008,  0.58301,  0.00008,  0.58301,  0.00008,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
80, 22, -0.87265,  0.18556, -1.66976,  1.00,  1.00,  1.00,  1.00,  0.56152,  0.05295,  0.56152,  0.05295,  0.56152,  0.05295,  0.99178,  0.00822,  0.00,  0.00, 0, 1, 0, 0
81, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
82, 23, -0.80543,  0.20113, -1.61936,  1.00,  1.00,  1.00,  1.00,  0.60205,  0.09009,  0.60205,  0.09009,  0.60205,  0.09009,  0.98108,  0.01892,  0.00,  0.00, 0, 1, 0, 0
83, 15, -0.75739,  0.199, -1.67464,  1.00,  1.00,  1.00,  1.00,  0.66797,  0.0824,  0.66797,  0.0824,  0.66797,  0.0824,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
84, 23, -0.80543,  0.20113, -1.61936,  1.00,  1.00,  1.00,  1.00,  0.60205,  0.09009,  0.60205,  0.09009,  0.60205,  0.09009,  0.98108,  0.01892,  0.00,  0.00, 0, 1, 0, 0
85, 12, -0.8197,  0.20471, -1.71845,  1.00,  1.00,  1.00,  1.00,  0.625,  0.04913,  0.625,  0.04913,  0.625,  0.04913,  0.99744,  0.00256,  0.00,  0.00, 0, 1, 0, 0
86, 22, -0.87265,  0.18556, -1.66976,  1.00,  1.00,  1.00,  1.00,  0.56152,  0.05295,  0.56152,  0.05295,  0.56152,  0.05295,  0.99178,  0.00822,  0.00,  0.00, 0, 1, 0, 0
87, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
88, 15, -0.75739,  0.199, -1.67464,  1.00,  1.00,  1.00,  1.00,  0.66797,  0.0824,  0.66797,  0.0824,  0.66797,  0.0824,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
89, 24, -0.75499,  0.20173, -1.5669,  1.00,  1.00,  1.00,  1.00,  0.63965,  0.1214,  0.63965,  0.1214,  0.63965,  0.1214,  0.97417,  0.02583,  0.00,  0.00, 0, 1, 0, 0
90, 23, -0.80543,  0.20113, -1.61936,  1.00,  1.00,  1.00,  1.00,  0.60205,  0.09009,  0.60205,  0.09009,  0.60205,  0.09009,  0.98108,  0.01892,  0.00,  0.00, 0, 1, 0, 0
91, 24, -0.75499,  0.20173, -1.5669,  1.00,  1.00,  1.00,  1.00,  0.63965,  0.1214,  0.63965,  0.1214,  0.63965,  0.1214,  0.97417,  0.02583,  0.00,  0.00, 0, 1, 0, 0
92, 15, -0.75739,  0.199, -1.67464,  1.00,  1.00,  1.00,  1.00,  0.66797,  0.0824,  0.66797,  0.0824,  0.66797,  0.0824,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
93, 25, -0.75765,  0.20459, -1.4592,  1.00,  1.00,  1.00,  1.00,  0.60791,  0.15833,  0.60791,  0.15833,  0.60791,  0.15833,  0.79246,  0.20754,  0.00,  0.00, 0, 1, 0, 0
94, 21, -0.69756,  0.19095, -1.52974,  1.00,  1.00,  1.00,  1.00,  0.71191,  0.14612,  0.71191,  0.14612,  0.71191,  0.14612,  0.92952,  0.07048,  0.00,  0.00, 0, 1, 0, 0
95, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
96, 25, -0.75765,  0.20459, -1.4592,  1.00,  1.00,  1.00,  1.00,  0.60791,  0.15833,  0.60791,  0.15833,  0.60791,  0.15833,  0.79246,  0.20754,  0.00,  0.00, 0, 1, 0, 0
97, 16, -0.69209,  0.18339, -1.64103,  1.00,  1.00,  1.00,  1.00,  0.74072,  0.10974,  0.74072,  0.10974,  0.74072,  0.10974,  0.99443,  0.00557,  0.00,  0.00, 0, 1, 0, 0
98, 24, -0.75499,  0.20173, -1.5669,  1.00,  1.00,  1.00,  1.00,  0.63965,  0.1214,  0.63965,  0.1214,  0.63965,  0.1214,  0.97417,  0.02583,  0.00,  0.00, 0, 1, 0, 0
99, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
100, 21, -0.69756,  0.19095, -1.52974,  1.00,  1.00,  1.00,  1.00,  0.71191,  0.14612,  0.71191,  0.14612,  0.71191,  0.14612,  0.92952,  0.07048,  0.00,  0.00, 0, 1, 0, 0
101, 26, -0.70058,  0.19361, -1.40786,  1.00,  1.00,  1.00,  1.00,  0.68359,  0.18604,  0.68359,  0.18604,  0.68359,  0.18604,  0.63912,  0.35874,  0.00212,  0.00, 0, 1, 2, 0
102, 26, -0.70058,  0.19361, -1.40786,  1.00,  1.00,  1.00,  1.00,  0.68359,  0.18604,  0.68359,  0.18604,  0.68359,  0.18604,  0.63912,  0.35874,  0.00212,  0.00, 0, 1, 2, 0
103, 21, -0.69756,  0.19095, -1.52974,  1.00,  1.00,  1.00,  1.00,  0.71191,  0.14612,  0.71191,  0.14612,  0.71191,  0.14612,  0.92952,  0.07048,  0.00,  0.00, 0, 1, 0, 0
104, 25, -0.75765,  0.20459, -1.4592,  1.00,  1.00,  1.00,  1.00,  0.60791,  0.15833,  0.60791,  0.15833,  0.60791,  0.15833,  0.79246,  0.20754,  0.00,  0.00, 0, 1, 0, 0
105, 20, -0.51302,  0.19845, -1.47743,  1.00,  1.00,  1.00,  1.00,  0.99902,  0.18762,  0.99902,  0.18762,  0.99902,  0.18762,  0.85138,  0.14736,  0.00127,  0.00, 0, 1, 2, 0
106, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
107, 27, -0.6068,  0.19603, -1.44264,  1.00,  1.00,  1.00,  1.00,  0.83447,  0.18811,  0.83447,  0.18811,  0.83447,  0.18811,  0.78347,  0.21466,  0.00186,  0.00, 0, 1, 2, 0
108, 18, -0.60393,  0.18885, -1.56429,  1.00,  1.00,  1.00,  1.00,  0.85059,  0.14893,  0.85059,  0.14893,  0.85059,  0.14893,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
109, 26, -0.70058,  0.19361, -1.40786,  1.00,  1.00,  1.00,  1.00,  0.68359,  0.18604,  0.68359,  0.18604,  0.68359,  0.18604,  0.63912,  0.35874,  0.00212,  0.00, 0, 1, 2, 0
110, 27, -0.6068,  0.19603, -1.44264,  1.00,  1.00,  1.00,  1.00,  0.83447,  0.18811,  0.83447,  0.18811,  0.83447,  0.18811,  0.78347,  0.21466,  0.00186,  0.00, 0, 1, 2, 0
111, 14, -0.89999,  0.18777, -1.78579,  1.00,  1.00,  1.00,  1.00,  0.58301,  0.00008,  0.58301,  0.00008,  0.58301,  0.00008,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
112, 28, -0.93564,  0.1392, -1.62439,  1.00,  1.00,  1.00,  1.00,  0.48169,  0.05518,  0.48169,  0.05518,  0.48169,  0.05518,  0.97734,  0.02266,  0.00,  0.00, 0, 1, 0, 0
113, 22, -0.87265,  0.18556, -1.66976,  1.00,  1.00,  1.00,  1.00,  0.56152,  0.05295,  0.56152,  0.05295,  0.56152,  0.05295,  0.99178,  0.00822,  0.00,  0.00, 0, 1, 0, 0
114, 14, -0.89999,  0.18777, -1.78579,  1.00,  1.00,  1.00,  1.00,  0.58301,  0.00008,  0.58301,  0.00008,  0.58301,  0.00008,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
115, 29, -0.96105,  0.14027, -1.74583,  1.00,  1.00,  1.00,  1.00,  0.50439,  0.00009,  0.50439,  0.00009,  0.50439,  0.00009,  0.99753,  0.00247,  0.00,  0.00, 0, 1, 0, 0
116, 28, -0.93564,  0.1392, -1.62439,  1.00,  1.00,  1.00,  1.00,  0.48169,  0.05518,  0.48169,  0.05518,  0.48169,  0.05518,  0.97734,  0.02266,  0.00,  0.00, 0, 1, 0, 0
117, 30, -1.02643,  0.09549, -1.71835,  1.00,  1.00,  1.00,  1.00,  0.42773,  0.00008,  0.42773,  0.00008,  0.42773,  0.00008,  0.99532,  0.00468,  0.00,  0.00, 0, 1, 0, 0
118, 28, -0.93564,  0.1392, -1.62439,  1.00,  1.00,  1.00,  1.00,  0.48169,  0.05518,  0.48169,  0.05518,  0.48169,  0.05518,  0.97734,  0.02266,  0.00,  0.00, 0, 1, 0, 0
119, 29, -0.96105,  0.14027, -1.74583,  1.00,  1.00,  1.00,  1.00,  0.50439,  0.00009,  0.50439,  0.00009,  0.50439,  0.00009,  0.99753,  0.00247,  0.00,  0.00, 0, 1, 0, 0
